Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Axtel Industries,523850,,INE767C01012,Industrial Manufacturing,Industrial Products,435.10,702.89,134.45,87.64,22.56,-3.99,0.00,1.64,0.98,25.32,83.08,49.95,25.12,33.69,18.18,43.20,0.00,19.29,1.42,0.41,7.50,31.39,0.00,14.72,0.79,58.35,32.87,5.64,125.48,64.30,166.60,0.41,1.42,58.63,70.57,223.77,11.16,23.13,67.34,27.22,21.50,10.12,1.90,7.98,0.00,0.00,32.00,18.18,13.34,15.62,18.45,77.16,41.65,686.42,442.12,444.11
B C C Fuba India,517246,,INE788D01016,IT - Hardware,Computers Hardware & Equipments,168.15,257.42,103.12,79.17,43.78,76.07,0.35,1.58,1.19,54.22,58.49,32.33,14.03,19.20,14.84,1.49,16.09,2.95,0.49,0.00,36.33,17.78,1.55,23.46,0.88,35.81,23.09,7.30,32.93,34.27,8.25,0.00,0.29,17.29,22.79,72.59,1.95,36.74,17.01,15.50,14.22,1.45,1.32,1.17,-5.54,6.92,41.93,14.84,14.30,12.80,14.05,23.07,9.32,254.80,141.21,153.00
CDG Petchem,534796,,INE198N01017,Industrial Products,Plastic Products - Industrial,234.30,216.39,1239.29,894.67,49.07,368.73,0.41,4.51,0.32,224.16,474.69,73.75,7.27,28.84,22.38,-67.90,20.96,4.78,0.70,0.00,13.77,9.54,0.00,12.44,0.89,100.00,19.89,4.20,-6.39,36.08,6.49,0.00,-1.41,22.18,52.22,74.88,3.19,155.61,0.22,,25.43,0.14,,1.60,11.65,15.56,27.88,22.38,-1.86,6.90,18.08,55.83,16.56,226.95,136.11,202.46
Dhampur.Spl.Sug.,531923,,INE956B01013,Agricultural Food & other Products,Sugar,120.40,105.13,148.28,33.77,18.59,27.87,0.00,0.91,0.11,46.89,109.63,60.27,13.54,19.67,12.45,1.41,0.00,6.36,0.00,0.00,39.39,11.48,0.00,12.49,0.88,23.63,15.98,2.48,66.64,111.15,376.50,0.00,0.00,16.35,17.31,58.39,0.72,163.75,14.76,9.97,3.41,1.95,0.97,2.04,4.68,0.00,22.46,12.45,8.83,6.87,15.17,48.61,7.53,98.96,109.04,118.97
Goenka Business,538787,,INE997C01015,Finance,Non Banking Financial Company (NBFC),10.42,13.55,4150.00,151.88,2.93,-5.75,0.00,1.97,0.01,101.02,894.83,14.91,83.14,83.14,17.56,9.07,0.00,3.55,0.00,0.00,-14.23,61.18,0.00,0.35,0.81,40.03,21.82,0.36,-706.34,-641.55,1.30,0.00,0.00,81.99,36.12,157.02,4.25,220.52,31.41,7.85,33.69,-1.97,-0.34,2.67,0.00,0.00,15.43,17.56,21.01,4.29,11.20,27.69,27.94,9.68,9.75,10.10
HBL Engineering,517271,HBLENGINE,INE292B01021,Industrial Products,Other Industrial Products,800.50,22189.40,44.18,27.03,26.46,39.99,0.03,0.91,0.25,67.89,201.21,59.11,43.83,58.45,33.70,617.91,66.87,29.40,0.79,5.94,34.13,40.57,0.00,18.52,0.71,48.60,24.42,9.99,100.17,95.67,76.33,5.03,0.79,874.04,604.12,3302.83,65.99,104.73,1222.90,601.77,12.36,387.26,143.35,221.31,0.03,86.02,40.65,33.70,19.97,21.96,34.60,79.88,1121.35,21704.36,763.94,785.10
InfoBeans Tech.,543644,INFOBEAN,INE344S01016,IT - Software,Computers - Software & Consulting,154.90,1502.16,88.73,37.40,17.32,66.60,0.04,0.98,0.51,30.09,123.18,72.83,20.22,29.16,21.93,70.67,14.67,8.94,0.20,0.45,10.05,19.28,0.00,10.56,0.60,100.00,20.65,3.61,178.88,93.65,85.53,0.45,0.18,134.46,141.82,513.57,21.44,33.97,125.44,111.85,19.91,22.61,23.32,19.29,-1.49,36.47,27.46,21.93,17.32,19.10,22.20,42.65,113.75,1457.45,160.82,164.93
Jeena Sikho,544476,JSLL,INE0J5801029,Leisure Services,Wellness,589.35,7325.67,78.97,54.79,32.98,41.94,0.27,1.18,0.37,70.85,151.76,63.62,43.37,70.74,43.63,230.52,127.28,17.87,0.46,6.17,57.83,59.64,0.00,20.50,0.69,88.44,33.69,15.65,54.34,55.82,24.22,6.17,0.46,221.66,215.55,801.35,45.35,88.18,189.85,174.29,36.18,58.79,51.31,66.73,-2.58,0.81,46.52,43.63,26.72,32.52,45.48,37.60,310.70,7345.34,635.19,625.98
KMC Speciality,524520,,INE879K01018,Healthcare Services,Hospital,136.50,2226.34,223.67,34.99,47.69,94.62,0.40,1.69,2.34,32.03,118.16,75.00,18.47,26.04,28.75,62.57,83.68,2.87,0.00,0.00,25.21,21.70,0.00,24.25,0.99,85.20,47.69,10.56,-19.24,-38.24,8.58,0.00,0.00,82.06,82.25,305.77,14.63,20.42,74.90,66.55,31.45,10.84,7.54,13.73,0.00,49.94,45.52,28.75,24.82,27.07,30.16,12.90,71.33,2255.33,87.25,104.68
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,1243.00,1856.21,64.44,42.18,48.68,42.69,0.01,2.26,0.52,29.10,73.10,59.96,38.60,31.07,21.53,66.43,2.17,25.53,2.06,0.61,56.93,24.14,0.00,32.66,0.89,47.66,60.30,9.76,53.44,110.37,49.38,0.61,2.06,63.66,64.85,244.78,12.30,93.00,48.36,,24.75,6.86,,10.18,-13.42,18.52,54.32,21.53,16.50,17.71,22.26,127.33,51.85,1827.30,985.20,1163.08
Neuland Labs.,524558,NEULANDLAB,INE794A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,18287.00,23462.01,664.72,136.40,64.44,48.19,0.16,0.95,2.12,36.98,74.82,32.64,19.57,26.59,28.40,-49.52,301.27,283.71,15.84,20.46,19.31,26.17,2.29,38.71,0.93,65.31,33.25,12.51,75.41,79.85,21.42,2.32,8.74,439.71,776.25,2022.99,212.67,30.39,514.27,292.75,39.59,96.85,13.90,40.57,-3.50,128.45,29.04,28.40,22.38,24.79,17.54,1461.02,512.93,23408.32,14941.84,16411.32
Nidhi Granites,512103,,INE276H01013,Other Construction Materials,Other Construction Materials,377.80,302.24,320.45,58.97,39.34,106.66,0.12,0.76,0.25,37.87,293.85,66.75,34.63,51.01,18.94,0.80,2.77,9.60,0.00,0.00,36.49,25.68,0.00,23.84,0.79,45.20,17.17,13.42,48.54,69.36,35.68,0.00,0.00,15.55,16.66,65.20,1.94,159.40,13.18,19.81,21.67,1.29,2.24,2.21,-3.50,3.29,72.89,18.94,7.46,10.43,21.86,28.17,11.06,301.13,322.65,358.03
Pratik Panels,526490,,INE206C01029,"Paper, Forest & Jute Products",Forest Products,6.17,39.42,72.73,755.56,23.33,-30.17,0.00,0.92,0.09,252.61,397.06,0.00,21.67,33.15,15.66,1.56,0.01,0.26,0.00,6.03,226.50,16.61,0.00,16.43,0.64,22.40,46.82,4.97,267.91,611.28,60.00,6.03,0.00,3.69,3.08,10.79,0.38,248.29,2.31,1.72,12.66,0.43,0.24,0.64,-2.40,0.04,57.14,15.66,1.63,,20.05,1.24,2.40,39.42,7.01,6.63
Railtel Corpn.,543265,RAILTEL,INE0DD101019,Telecom - Services,Other Telecom Services,307.80,9878.56,35.68,27.56,27.16,-26.68,0.03,0.91,1.12,23.00,15.53,72.84,15.77,22.78,14.88,-9.67,63.72,10.79,0.99,3.72,29.77,21.62,0.00,13.53,0.71,100.00,18.96,4.43,33.57,14.16,131.67,2.67,-3.13,913.45,1668.86,4277.48,143.52,24.22,951.36,743.81,13.94,76.07,66.10,68.67,0.00,41.79,32.19,14.88,15.38,17.26,14.61,70.47,497.72,9288.17,330.91,316.23
Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1397.90,23118.83,111.83,43.49,93.68,,0.24,0.83,0.60,36.57,84.55,59.86,20.26,28.35,22.82,-23.88,311.01,14.95,10.02,7.54,64.57,24.45,0.00,56.58,0.95,67.06,33.25,17.91,104.03,68.79,8.60,,,475.53,513.92,1753.96,76.79,155.01,412.02,352.49,23.10,53.85,43.30,72.80,,319.67,61.07,22.82,19.93,17.18,22.74,78.07,362.71,23083.82,856.33,1120.85
SEAMEC Ltd,526807,SEAMECLTD,INE497B01018,Transport Services,Shipping,1445.65,3675.55,141.04,63.85,14.60,77.31,0.27,1.27,0.14,46.12,230.17,72.72,23.30,20.04,41.96,-58.06,352.92,98.88,4.49,3.73,29.63,13.70,0.00,8.59,0.85,100.00,11.73,2.83,33.43,18.77,13.95,0.89,4.48,317.05,327.07,952.46,103.48,106.32,97.42,210.92,48.66,-25.73,75.79,99.62,0.68,138.73,30.09,41.96,32.86,35.68,42.84,511.91,290.05,3840.17,1290.08,1503.39
SJS Enterprises,543387,SJS,INE284S01014,Auto Components,Auto Components & Equipments,2201.00,7044.32,45.14,29.73,41.51,70.30,0.03,1.30,1.11,25.59,46.32,21.16,30.11,28.58,28.39,141.64,23.25,53.35,31.09,15.68,30.17,24.30,4.29,24.53,0.96,56.57,28.02,8.12,55.90,62.17,53.82,10.08,17.68,243.53,260.12,955.07,48.49,37.52,241.76,209.66,28.71,43.27,34.62,44.61,-29.21,30.49,28.42,28.39,25.76,26.12,29.31,271.24,233.06,7040.08,1713.85,1991.85
SRM Contractors,544158,SRM,INE0R6Z01013,Construction,Civil Construction,512.60,1176.13,124.67,95.87,10.58,6.72,0.36,0.83,0.13,94.19,101.89,72.59,22.78,37.14,16.41,-90.61,134.74,48.39,1.11,0.43,50.59,32.80,0.00,6.37,0.79,21.28,17.87,3.20,29.03,47.35,16.94,,,231.21,445.75,1025.57,54.10,81.27,206.22,142.40,16.69,20.08,12.75,24.10,,46.96,18.01,16.41,15.44,14.63,19.07,161.74,160.46,1126.80,475.25,492.36
Swasti Vin. Art,512257,,INE895A01023,Diversified,Diversified,3.70,33.30,189.47,236.39,5.72,-10.41,0.26,3.14,0.22,67.72,154.82,51.00,18.21,22.91,24.86,17.82,8.11,0.65,0.00,0.00,35.76,15.68,0.00,3.65,0.76,58.69,18.92,1.05,140.13,408.60,6.15,0.00,0.00,6.33,11.74,31.70,2.75,26.06,3.67,9.96,27.00,0.77,1.45,0.83,0.00,7.30,11.78,24.86,20.32,26.45,18.64,3.50,9.16,33.78,3.71,3.68
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,625.20,7992.03,92.94,32.41,36.86,-5.36,0.02,0.91,0.89,20.86,34.45,64.15,98.75,122.19,73.44,190.79,5.10,16.96,4.94,7.48,26.21,111.61,0.00,27.12,0.86,100.00,43.46,30.72,191.79,70.07,1460.35,7.43,4.94,94.29,103.93,375.51,59.06,41.58,89.22,88.07,74.01,53.19,45.84,58.66,-10.85,3.84,40.03,73.44,66.53,66.32,79.03,20.34,292.07,7989.12,593.04,632.18
Valiant Commun.,526775,,INE760B01019,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,1080.00,1262.73,92.89,50.37,52.25,109.87,0.03,1.34,0.36,66.90,164.26,39.75,25.01,39.73,35.61,26.33,2.52,21.13,3.27,0.96,39.15,26.60,0.00,34.33,0.83,67.33,59.89,12.80,114.14,167.92,170.11,0.96,3.27,22.14,24.24,84.87,8.14,143.73,20.17,18.32,38.20,5.27,4.72,6.04,-6.63,1.82,63.81,35.61,27.20,24.53,34.78,84.34,32.32,1208.57,914.85,1121.53
Venus Remedies,526953,VENUSREM,INE411B01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,1949.30,2605.60,126.19,33.05,25.35,324.23,0.02,1.52,0.44,20.24,173.67,41.76,22.11,21.67,19.14,118.25,12.41,76.90,1.20,2.80,11.69,13.76,0.00,16.19,0.95,53.91,33.25,3.91,96.68,100.35,3355.00,1.80,1.20,180.26,259.40,769.60,47.50,57.00,192.75,137.18,24.45,20.13,9.60,25.58,0.00,42.29,14.67,19.14,9.93,12.44,20.81,496.56,134.20,2588.40,915.27,1369.52
Vivid Mercantile,542046,,INE647Z01025,Realty,"Residential, Commercial Projects",6.99,70.08,1957.14,1041.30,6.49,-0.14,0.00,2.60,0.02,242.16,2015.69,10.75,18.80,23.13,24.07,28.01,0.07,1.08,7.82,0.00,119.76,5.73,0.00,5.21,0.79,26.67,27.60,1.26,426.86,724.51,,0.00,7.82,30.26,26.25,46.91,1.44,284.38,1.37,1.69,1.94,0.91,1.21,7.22,-34.49,3.47,7.50,24.07,-10.50,6.36,26.44,5.61,13.01,67.88,6.87,7.11
Viyash Scientific,512529,VIYASH,INE807F01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,270.15,11802.25,455.37,129.02,59.08,41.70,0.17,1.44,0.81,120.47,815.72,61.31,8.72,19.05,19.08,225.10,489.76,4.06,7.98,2.94,34.02,9.32,0.00,17.27,0.97,55.13,33.25,4.09,110.87,70.29,6.68,-2.95,5.06,858.41,919.96,3420.31,52.11,73.24,850.30,441.42,20.03,72.90,17.57,47.88,8.52,443.59,67.93,19.08,10.43,10.87,20.46,66.64,462.44,12022.30,213.45,239.67
Websol Energy,517498,WEBELSOLAR,INE855C01023,Electrical Equipment,Other Electrical Equipment,100.10,4345.95,152.31,132.07,14.32,-22.96,0.21,0.84,0.09,82.37,96.69,29.72,41.97,63.18,40.83,75.45,130.74,6.98,0.32,4.12,293.53,36.05,89.39,9.98,0.64,52.66,31.40,6.90,68.77,-215.31,23.57,0.04,0.30,261.02,401.45,1049.44,121.79,153.82,168.22,218.75,36.45,46.32,67.18,68.16,2.96,27.51,36.92,40.83,43.99,36.89,40.78,14.53,376.83,4376.60,99.10,101.46
