Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Banco Products,500039,BANCOINDIA,INE213C01025,Auto Components,Auto Components & Equipments,684.00,9763.71,-5.69,25.62,20.96,16.42,0.36,0.79,0.83,21.29,22.93,67.88,25.61,30.91,17.48,266.79,613.77,33.68,0.24,3.92,18.66,30.08,0.00,13.21,0.78,47.07,29.95,5.80,124.70,110.87,28.58,2.05,0.22,789.36,1098.74,3896.38,144.77,25.31,1038.19,970.09,20.49,138.90,109.52,75.90,0.00,417.57,15.69,17.48,19.02,16.64,15.82,117.75,645.23,10296.71,632.10,651.01
Bemco Hydraulics,522650,,INE142E01022,Industrial Manufacturing,Industrial Products,114.70,501.63,2.65,-3.63,35.05,-21.05,0.21,1.10,0.64,-2.98,15.78,74.69,22.17,23.30,23.56,14.66,17.69,3.40,0.00,0.00,26.10,22.11,0.00,21.56,0.61,49.32,32.72,5.94,45.88,25.62,10.00,0.00,0.00,25.43,37.67,97.14,5.42,54.37,22.33,11.71,23.63,4.02,1.44,3.99,0.00,14.17,28.03,23.56,20.29,18.81,23.55,19.32,22.30,513.97,96.31,99.85
Borana Weaves,544404,BORANA,INE16SF01016,Textiles & Apparels,Other Textile Products,339.60,906.19,57.89,27.99,14.02,53.48,0.25,0.57,0.24,33.85,58.43,65.23,27.97,32.74,23.55,-141.73,70.81,24.25,2.78,1.66,42.11,36.50,0.00,9.78,0.81,44.81,24.59,3.21,86.50,56.97,23.47,,,111.36,100.73,388.59,17.21,58.28,95.50,81.00,25.42,16.65,12.20,18.58,,40.74,12.93,23.55,21.77,21.52,24.32,105.68,81.92,975.32,314.25,323.42
Canara Robeco,544580,CRAMC,INE218I01013,Capital Markets,Asset Management Company,262.10,5227.73,23.98,20.07,23.93,,0.02,0.85,0.64,13.00,8.87,75.00,639.85,40.11,63.44,166.21,17.59,10.95,9.35,1.28,30.80,45.35,0.00,17.22,0.74,100.00,37.24,7.01,5.74,0.69,139.73,,,103.63,145.37,477.97,75.60,37.24,121.32,107.65,70.15,52.75,48.71,41.36,,17.27,26.27,62.40,65.43,61.13,58.34,37.40,296.23,5243.13,265.32,256.85
Ceinsys Tech,538734,CEINSYS,INE016Q01014,IT - Software,Computers - Software & Consulting,838.00,1748.99,69.96,19.89,13.02,-50.12,0.08,0.03,0.21,58.04,113.75,50.88,22.47,27.46,22.10,-7.63,56.74,63.72,0.24,10.05,44.39,25.31,12.44,8.66,0.43,88.50,23.34,2.61,135.12,127.13,25.92,10.05,0.24,169.94,170.71,660.70,37.17,63.33,163.45,156.60,23.57,25.74,31.64,39.94,-7.73,56.87,19.48,22.10,19.19,18.66,23.48,321.46,163.53,1514.13,1044.43,904.30
Central Mine Pla,544739,CMPDI,INE05HV01027,Construction,Civil Construction,250.14,17807.49,53.88,17.62,27.24,,0.00,1.17,0.99,10.17,-8.07,85.00,26.63,38.06,33.57,652.23,1.45,8.59,7.85,0.50,18.67,46.12,0.00,19.08,0.88,98.74,18.04,7.82,99.16,135.47,10295.63,,,826.88,481.37,2316.53,116.27,27.38,528.53,,30.22,172.67,,187.82,,1.70,0.05,33.57,40.00,35.30,28.78,31.98,823.65,16378.94,201.24,244.38
Crizac,544439,CRIZAC,INE0S4R01014,Retailing,Internet & Catalogue Retail,187.98,3290.57,2.88,-3.98,14.93,-37.51,0.00,0.66,0.59,15.17,38.40,79.94,52.01,52.34,27.63,127.25,1.84,12.60,3.22,1.61,30.13,64.37,0.00,9.95,0.48,100.00,20.57,5.63,47.71,-7.12,3625.00,,,391.73,201.21,1033.83,47.13,25.45,278.64,162.25,30.40,50.53,48.34,75.04,,0.08,22.63,27.41,25.05,26.57,24.31,33.41,290.00,3127.37,231.81,198.44
Danish Power,,DANISH,INE0YU901016,Electrical Equipment,Heavy Electrical Equipment,812.85,1600.63,9.23,18.61,22.86,-10.65,0.00,0.67,0.23,22.57,20.02,73.62,17.18,23.75,17.37,-27.23,2.17,35.55,4.01,0.27,40.41,44.77,0.00,15.82,0.74,27.30,33.15,3.51,149.72,95.17,49.98,,,211.06,309.84,520.90,41.17,101.01,,,17.46,,,29.31,,13.89,25.21,17.37,19.15,15.71,17.25,231.51,92.97,1578.80,814.91,865.00
Danlaw Tech.,532329,,INE310B01013,Industrial Manufacturing,Industrial Products,1198.30,583.65,46.32,28.44,25.39,30.64,0.30,0.90,0.54,19.96,20.68,61.87,20.92,27.22,15.01,12.16,29.80,47.20,0.02,0.00,16.16,31.91,0.00,14.54,1.00,41.06,32.72,5.85,58.31,59.99,17.49,0.00,0.02,61.57,80.03,261.96,9.54,46.78,65.58,54.77,18.62,5.50,3.47,4.48,11.94,37.96,26.41,15.01,14.74,13.75,12.81,204.73,32.89,586.87,877.91,983.07
Disa India,500068,DISAQ,INE131C01011,Industrial Manufacturing,Industrial Products,11725.00,1716.16,-15.84,-16.17,30.53,-16.23,0.00,0.25,1.29,8.91,3.54,74.82,21.28,26.63,15.73,-15.32,0.00,368.73,8.31,0.02,17.52,27.15,0.00,18.54,0.80,43.03,32.72,5.59,-12.07,-33.59,217.83,0.00,0.29,128.62,90.81,425.10,13.18,23.70,103.70,101.97,17.38,12.20,13.04,17.67,0.00,2.94,36.33,15.73,15.36,15.51,16.91,2098.34,76.24,1500.57,12394.13,12041.47
Emcure Pharma,544210,EMCURE,INE168P01015,Pharmaceuticals & Biotechnology,Pharmaceuticals,1978.40,37537.95,40.45,22.85,36.44,41.24,0.31,1.00,1.75,18.36,36.79,77.83,20.89,23.97,20.45,400.12,1557.99,53.34,8.46,4.87,15.42,21.10,0.04,19.56,0.98,58.41,33.97,7.58,61.56,55.34,10.55,,,2469.70,2580.45,9683.45,293.98,20.80,2363.48,2269.82,20.64,231.37,251.37,236.47,,2334.31,35.40,20.26,18.60,19.87,19.42,261.09,1566.21,38948.42,1624.02,1832.41
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,318.90,22085.61,102.64,51.34,17.33,,0.10,0.19,0.04,84.07,140.80,80.03,28.67,44.83,34.64,-439.74,360.06,18.98,9.80,2.92,101.40,26.65,0.00,11.12,0.86,43.54,30.73,5.98,88.28,-13.26,14.91,,,1738.81,1555.52,5577.58,380.29,394.58,1152.25,1131.00,35.24,263.64,237.86,392.38,,524.35,3.37,34.34,30.91,28.78,32.84,53.37,1679.63,22092.02,268.22,319.94
Frontier Springs,522195,FRONTSP,INE572D01014,Auto Components,Auto Components & Equipments,1405.70,1665.40,42.28,17.78,27.17,-14.15,0.06,0.51,0.26,39.23,79.43,51.76,44.40,50.92,26.80,16.95,10.80,51.89,0.36,0.00,44.22,37.66,0.00,19.13,0.75,55.26,29.95,9.05,78.90,70.77,294.79,0.00,0.36,81.43,82.54,322.06,16.59,103.92,82.74,75.34,28.51,15.71,14.74,14.28,0.00,4.62,30.26,26.80,21.62,20.77,24.89,155.29,82.54,1672.70,1416.62,1424.31
Gaudium IVF,544709,GAUDIUMIVF,INE0P8B01020,Healthcare Services,Healthcare Service Provider,130.95,961.20,29.41,12.74,39.25,,0.16,0.30,1.79,47.57,28.02,71.29,42.11,29.27,36.12,5.11,24.57,3.36,2.22,3.01,33.12,40.83,0.00,25.56,0.80,72.78,46.68,6.26,90.87,39.89,10.22,,,24.51,30.35,104.36,8.36,21.90,31.73,,40.10,9.38,,3.63,,11.54,33.72,36.12,40.84,39.43,26.76,20.92,35.68,976.98,103.17,126.70
Kalyani Cast-Tec,544023,,INE0N6U01018,Industrial Manufacturing,Industrial Products,768.00,551.46,20.87,-16.57,30.88,50.59,0.01,1.09,1.01,7.74,28.12,59.47,33.92,31.04,15.01,2.88,0.58,24.87,0.01,0.01,33.34,31.93,0.00,22.26,0.92,35.14,32.72,6.75,73.64,70.51,262.33,,,92.40,57.59,149.99,7.53,30.48,,,18.18,,,9.53,,3.42,26.50,15.01,14.14,14.03,12.28,113.71,23.61,549.01,602.33,707.37
MPS,532440,MPSLTD,INE943D01017,Printing & Publication,Printing & Publication,2930.45,4998.76,41.19,20.38,27.29,27.29,0.10,1.14,1.77,10.09,18.76,68.34,25.95,39.27,32.56,188.35,60.63,110.12,2.14,1.38,15.32,38.66,0.00,17.97,1.00,100.00,6.97,8.41,7.95,6.41,86.26,-2.47,1.54,205.16,224.24,806.33,50.39,15.46,182.49,194.44,34.32,35.50,55.44,46.78,0.00,7.57,20.55,30.69,29.01,30.08,32.91,348.61,246.69,4964.85,1999.21,2226.99
