Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,456.00,6024.54,162.06,72.39,89.72,140.99,0.02,1.19,4.57,35.64,42.06,65.47,13.33,18.92,23.41,-5.22,8.90,5.13,1.48,3.61,17.93,22.58,0.00,49.96,0.87,44.49,22.34,13.49,117.57,116.99,83.07,,,125.84,145.38,502.98,18.79,19.63,120.89,110.87,23.04,16.49,14.23,17.64,,45.01,50.17,22.70,21.22,20.82,23.86,33.80,91.38,5963.79,315.68,420.57
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,4946.10,7214.71,72.25,61.75,98.76,73.89,0.42,1.12,1.13,68.31,86.64,57.65,28.30,26.95,20.00,-25.14,127.68,49.37,0.72,0.49,33.85,14.96,9.31,56.47,0.96,65.26,23.13,23.50,59.97,34.15,11.26,0.49,0.70,135.12,198.82,604.42,26.82,87.31,116.02,154.46,23.14,9.31,19.12,16.11,-5.14,74.06,56.61,19.08,16.39,13.70,18.49,210.49,113.43,7313.23,3328.56,4052.70
Deep Industries,543288,DEEPINDS,INE0FHS01024,Oil,Oil Equipment & Services,643.60,4120.30,45.12,39.81,9.93,20.84,0.10,1.37,0.16,48.75,132.59,63.49,18.27,16.48,39.36,53.29,202.98,32.26,1.53,1.47,37.67,12.93,0.00,9.25,0.97,51.81,23.56,2.06,194.93,223.39,22.45,0.28,1.53,248.71,278.92,970.14,85.36,62.56,221.50,221.01,38.77,71.35,71.22,193.92,0.00,69.87,14.10,39.89,41.83,39.49,32.93,312.37,399.53,4270.50,464.57,501.89
JOJO,531910,,INE312M01016,Entertainment,"Film Production, Distribution & Exhibition",301.65,1040.11,7883.33,781.12,185.07,61.22,0.06,1.88,0.26,448.17,438.55,67.79,13.25,17.05,42.69,-3.40,3.20,2.21,0.00,0.00,521.53,9.82,0.00,96.59,0.93,100.00,81.59,14.17,180.14,611.56,,0.00,0.00,8.15,12.60,24.01,4.79,725.24,1.47,1.79,48.10,0.31,-0.51,1.02,63.88,0.00,130.95,42.69,-17.35,34.12,69.69,21.28,9.07,1035.40,226.88,236.24
KMC Speciality,524520,,INE879K01018,Healthcare Services,Hospital,122.95,2005.32,223.67,34.99,42.91,90.86,0.40,1.69,2.10,32.03,118.16,75.00,18.47,26.04,28.75,62.57,83.68,2.87,0.00,0.02,25.21,21.70,0.00,21.87,0.84,85.20,47.74,9.53,-19.24,-38.24,8.58,0.02,0.00,82.06,82.25,305.77,14.63,20.42,74.90,66.55,31.45,10.84,7.54,13.73,0.00,49.94,45.46,28.75,24.82,27.07,30.16,12.90,71.33,2034.31,98.04,122.20
MTAR Technologie,543270,MTARTECH,INE864I01014,Electrical Equipment,Other Electrical Equipment,6628.00,20427.74,349.69,130.37,148.79,316.75,0.46,2.01,-111.87,53.38,126.78,29.35,13.30,15.20,21.06,64.54,376.57,43.76,22.35,24.80,15.18,12.36,3.52,80.40,0.76,45.61,30.88,24.69,160.41,174.63,5.66,20.28,-5.67,306.03,360.72,1080.24,50.50,-1.33,277.90,135.59,23.54,35.17,4.59,44.34,-9.79,142.79,90.79,19.52,17.85,21.53,20.12,268.43,222.86,20783.19,4856.80,6433.49
Resonance Speci.,524218,,INE486D01017,Chemicals & Petrochemicals,Specialty Chemicals,162.05,187.01,252.15,53.17,12.89,51.80,0.03,1.67,0.47,24.19,92.44,54.25,17.68,20.00,18.62,13.58,2.24,12.57,1.55,0.00,15.89,14.21,0.00,9.04,1.00,51.47,28.02,2.55,155.63,194.08,114.76,0.00,1.52,24.48,32.58,101.55,5.74,27.20,22.96,21.53,22.90,2.51,1.66,4.60,0.00,2.29,18.32,15.67,13.93,14.97,23.04,63.44,19.51,188.65,114.96,134.85
Sakar Healthcare,,SAKAR,INE732S01012,Pharmaceuticals & Biotechnology,Pharmaceuticals,890.70,1981.80,120.13,38.36,54.91,162.74,0.17,1.62,1.62,43.76,82.27,52.52,10.22,12.67,28.48,20.91,55.30,16.22,11.37,12.13,23.59,9.51,0.00,25.18,0.93,52.60,34.05,6.11,44.56,41.84,7.63,-3.61,11.37,71.10,72.97,271.97,10.28,33.92,70.34,57.56,29.12,10.25,4.54,11.02,-8.20,119.17,40.20,27.37,28.18,26.05,36.91,145.86,56.35,2036.84,617.41,817.37
SEAMEC Ltd,526807,SEAMECLTD,INE497B01018,Transport Services,Shipping,1509.70,3834.01,141.04,63.85,15.25,89.63,0.27,1.27,0.14,46.12,230.17,72.72,23.30,20.04,41.96,-58.06,352.92,98.88,4.39,5.93,29.63,13.70,0.00,8.94,0.88,100.00,11.60,2.95,33.43,18.77,13.95,3.28,4.39,317.05,327.07,952.46,103.48,106.32,97.42,210.92,48.66,-25.73,75.79,99.62,0.67,138.73,29.43,41.96,32.86,35.68,42.84,511.91,290.05,3998.63,1324.05,1454.57
Sedemac Mechatro,544723,SEDEMAC,INE00XB01019,Auto Components,Auto Components & Equipments,2846.40,12572.74,95.14,42.51,104.93,,0.16,1.24,0.81,60.76,120.81,26.23,24.97,35.69,20.50,-47.45,72.44,23.45,39.81,4.27,35.76,25.75,0.00,56.62,0.96,37.40,30.09,27.98,17.33,-1.37,18.61,,,287.71,309.77,1058.38,33.31,129.40,266.83,,19.10,24.33,,32.08,,133.85,90.29,20.50,18.37,16.69,21.02,101.72,158.72,12580.79,2005.69,2583.62
