Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50,Volume 1month average,Volume 1year average,Return over 1week
Bhilwara Tech,533108,BTTL,INE274K01012,Textiles & Apparels,Trading - Textile Products,54.87,326.61,-594.71,413.91,,6.19,0.00,0.16,,228.97,-262.14,73.54,-48.50,-6.24,-50.95,-1.78,0.00,-1.92,0.14,0.00,29.12,2.15,0.00,-31.11,0.90,26.80,16.33,1.99,237.23,127.22,-347.33,0.00,0.00,8.60,7.76,26.91,-10.29,,5.22,5.32,-136.47,-4.26,0.31,3.02,3.67,0.00,22.38,-50.95,-17.48,-23.87,2.91,27.60,-10.42,324.20,38.76,40.17,167198,25204,20.99
Creative Newtech,544631,CNL,INE985W01018,Commercial Services & Supplies,Trading & Distributors,842.15,1265.91,29.57,83.17,18.01,33.22,0.89,-3.89,0.43,51.73,52.11,56.62,22.84,18.75,3.37,-276.40,324.26,46.81,1.08,0.22,24.77,22.12,0.00,15.09,0.93,9.46,21.79,3.48,47.38,47.00,4.96,-0.13,1.08,914.00,740.81,2704.61,17.79,41.92,655.75,392.96,4.01,18.95,10.18,23.37,-6.86,88.93,23.61,3.37,3.04,3.06,2.90,242.15,102.42,1567.99,677.17,700.38,201061,33042,14.03
Digitide Solutio,544413,DIGITIDE,INE0U4701011,IT - Services,IT Enabled Services,105.01,1566.12,-118.68,9.21,153.09,-53.35,0.63,47.30,,-5.77,-92.13,57.37,2.16,10.86,11.14,157.45,530.84,-1.10,11.61,7.70,,10.86,0.00,5.28,0.38,100.00,23.94,1.87,14.57,10.27,2.89,,,780.30,799.95,3080.18,-3.34,,764.19,735.74,10.99,2.91,9.69,5.92,,,125.16,11.14,14.53,,11.22,56.24,147.36,1899.18,120.29,92.39,5013506,880214,18.52
E2E Networks,544783,E2E,INE255Z01027,IT - Services,IT Enabled Services,397.70,8178.56,-52.68,185.66,,55.93,0.09,-7.84,,49.78,-132.81,39.45,-0.79,-0.51,51.41,-1140.30,159.08,-0.76,6.58,0.91,54.80,10.87,0.00,49.74,0.85,78.24,23.94,4.85,-390.58,-701.43,-0.73,-0.75,-6.41,70.02,95.64,245.58,6.44,,43.80,36.11,60.75,-13.46,-2.84,-5.70,-20.26,5.89,74.85,51.41,58.95,52.55,56.63,81.96,-8.96,7971.71,299.59,368.32,2059397,317389,2.45
F Mec Intl. Fin.,539552,,INE108T01021,Finance,Non Banking Financial Company (NBFC),12.18,59.57,171.43,136.21,26.95,-31.53,0.69,-2.92,0.25,62.65,36.42,36.91,16.75,16.75,40.93,-6.56,11.15,0.45,0.00,0.00,117.48,14.53,1.55,14.96,0.45,100.00,22.48,3.71,887.83,291.70,3.01,0.00,0.00,2.56,4.11,10.80,0.76,106.77,2.17,1.97,33.82,0.39,0.33,0.73,3.62,1.61,63.05,40.93,46.84,40.89,47.66,3.29,4.48,70.18,16.58,14.22,470669,91334,8.17
Fermenta Biotec.,506414,FERMENTA,INE225B01021,Pharmaceuticals & Biotechnology,Pharmaceuticals,401.65,1174.98,-62.93,-13.06,17.61,12.74,0.28,1.32,0.26,12.39,-17.66,64.09,18.43,20.36,19.00,62.61,113.33,24.39,0.00,0.02,14.64,15.51,0.00,10.20,0.97,65.68,34.17,2.91,95.80,48.52,8.71,0.02,0.00,137.36,121.58,525.43,12.75,67.13,130.22,136.26,16.45,18.03,21.60,14.19,4.51,219.53,21.39,19.00,24.70,15.64,18.17,138.02,100.52,1246.97,323.09,336.45,377471,55974,14.11
Grand Oak Canyon,523862,GRANDOAK,INE926B01016,Finance,Non Banking Financial Company (NBFC),47.68,2474.53,111.11,,27494.80,132.25,3.12,-1.56,,212.50,101.80,0.00,0.00,0.00,12.00,-0.14,2650.00,0.00,0.02,0.00,,-0.11,0.00,85408.00,0.72,,22.48,2.91,63568.40,21141.43,,0.00,-4.55,0.07,0.00,0.25,0.01,,0.07,0.08,,4.86,-0.04,0.06,-2.89,,27.44,12.00,-6262.50,,57.14,16.37,0.06,5124.48,34.36,38.42,143992,24273,4.26
IKIO Tech,543923,IKIO,INE0LOJ01019,Consumer Durables,Consumer Electronics,206.88,1604.44,804.70,47.25,42.41,-2.28,0.12,0.39,-4.77,22.52,22.43,72.55,9.87,9.46,13.02,-64.83,69.70,4.90,1.21,0.91,18.39,13.13,0.00,17.56,0.82,44.59,43.29,2.66,137.73,146.24,7.46,-4.15,-6.00,145.59,165.35,595.29,16.49,-8.90,164.22,120.14,15.71,10.89,2.38,9.19,,122.76,38.64,13.02,12.37,17.45,15.04,77.91,61.19,1616.52,169.72,162.41,3522245,588273,21.52
Lamosaic India,,LAMOSAIC,INE0R0201012,Consumer Durables,Plywood Boards/ Laminates,49.25,50.91,86.38,-1.36,31.23,27.26,0.10,-9.41,,-28.84,-34.27,69.26,3.27,4.52,3.91,-10.99,7.70,1.62,0.00,0.00,,7.79,0.00,14.18,0.99,-0.73,41.83,0.64,251.15,161.56,3.51,,,32.40,69.71,102.11,-1.08,,,,-1.32,,,2.75,,,2.18,3.91,4.72,,15.15,76.97,3.90,58.55,35.31,32.70,450743,52200,44.85
Le Merite Export,,LEMERITE,INE0G1L01025,Textiles & Apparels,Other Textile Products,22.36,279.88,-65.96,-40.28,24.13,-65.30,0.67,3.36,0.61,-31.89,99.45,59.65,13.39,9.95,3.68,27.40,90.46,0.93,0.16,0.22,-1.72,7.93,0.00,13.50,0.21,9.28,23.64,2.07,58.25,41.52,3.13,-0.36,0.16,73.49,75.31,357.47,0.80,39.42,98.21,,-0.11,4.35,,2.12,-13.09,86.09,45.33,3.68,1.47,2.86,2.76,10.78,21.93,313.98,69.21,43.35,1431013,246405,6.53
