Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3614.40,42612.71,207.73,45.49,115.88,,0.14,0.04,2.39,35.64,561.01,74.74,20.91,28.56,13.41,-119.56,256.34,31.24,14.75,5.72,22.71,25.07,0.00,73.72,0.93,31.77,32.97,22.69,73.90,40.80,17.31,,,1139.11,1422.03,4220.81,169.13,48.42,919.64,740.04,18.06,69.98,32.88,95.98,,426.87,95.43,13.41,7.96,9.47,12.28,159.33,522.76,42669.46,2238.84,3223.36
Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028,Electrical Equipment,Heavy Electrical Equipment,1698.30,13066.09,129.07,81.69,64.47,,0.05,0.91,2.00,48.81,70.85,87.27,27.51,45.26,18.60,68.21,50.74,26.24,4.76,1.92,28.44,46.92,0.00,36.15,0.77,29.69,37.46,14.05,55.22,51.27,5.90,,,471.82,747.62,1851.52,102.28,32.30,316.96,315.11,20.00,25.10,31.14,44.06,,74.05,58.73,18.60,15.56,15.54,19.35,120.84,333.98,13016.93,1324.31,1720.46
Borana Weaves,544404,BORANA,INE16SF01016,Textiles & Apparels,Other Textile Products,317.25,848.84,57.89,27.99,13.13,34.09,0.25,0.57,0.23,33.85,58.43,65.24,27.97,32.74,23.55,-141.73,70.81,24.25,2.65,2.63,42.11,36.50,0.00,9.20,0.76,44.81,24.69,3.00,86.50,56.97,23.47,,,111.36,100.73,388.59,17.21,58.28,95.50,81.00,25.42,16.65,12.20,18.58,,40.74,12.85,23.55,21.77,21.52,24.32,105.68,81.92,917.97,312.01,319.37
Crizac,544439,CRIZAC,INE0S4R01014,Retailing,Internet & Catalogue Retail,185.73,3248.75,50.26,15.02,14.82,-45.12,0.00,0.66,0.58,22.68,43.76,79.94,52.01,52.34,27.41,127.25,1.84,12.52,3.48,2.30,30.13,64.37,0.00,9.81,0.48,100.00,23.13,5.56,47.71,-7.12,4104.14,,,278.64,391.73,1042.16,75.04,25.45,162.25,209.54,24.31,48.34,45.81,49.94,,0.08,24.26,27.41,25.05,26.57,23.70,33.41,287.29,3085.55,238.68,205.86
Fredun Pharma,539730,,INE194R01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,970.00,1604.19,56.58,27.26,48.30,208.06,0.80,0.50,1.06,40.03,59.59,44.57,18.94,21.49,14.34,-57.14,222.03,20.25,2.94,1.06,32.26,19.19,0.00,18.58,0.97,28.04,33.58,5.71,78.68,82.43,2.21,1.06,1.30,160.93,213.05,635.47,11.07,45.37,145.30,119.85,13.68,9.73,6.77,10.48,-5.05,86.55,30.96,14.34,11.60,11.55,16.37,169.94,86.89,1761.27,645.66,834.45
Goldiam Intl.,526729,GOLDIAM,INE025B01025,Consumer Durables,"Gems, Jewellery And Watches",344.75,5190.46,61.38,18.14,30.42,28.67,0.07,0.14,1.15,25.08,45.34,58.51,15.32,23.89,20.91,8.18,77.01,11.33,0.78,1.99,22.36,22.75,0.00,19.95,0.88,39.46,18.13,4.69,273.06,211.43,71.16,1.96,0.78,319.71,234.60,976.86,37.31,26.44,192.81,229.73,21.12,31.36,33.61,68.39,-7.88,2.68,22.33,20.91,20.53,19.93,23.54,73.44,234.11,4961.45,291.70,328.94
KMC Speciality,524520,,INE879K01018,Healthcare Services,Hospital,135.20,2205.11,223.67,34.99,47.19,105.91,0.40,1.69,2.31,32.03,118.16,75.00,18.47,26.04,28.75,62.57,83.68,2.87,0.00,0.02,25.21,21.70,0.00,24.02,0.93,85.20,48.00,10.48,-19.24,-38.24,8.58,0.02,0.00,82.06,82.25,305.77,14.63,20.42,74.90,66.55,31.45,10.84,7.54,13.73,0.00,49.94,45.53,28.75,24.82,27.07,30.16,12.90,71.33,2234.10,93.75,117.81
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,1281.10,1914.96,64.44,42.18,50.26,52.19,0.01,2.26,0.54,29.10,73.10,59.96,38.60,31.07,21.53,66.43,2.17,25.53,1.32,1.36,56.93,24.14,0.00,33.71,0.92,47.66,62.23,10.06,53.44,110.37,49.38,1.36,1.32,63.66,64.85,244.78,12.30,93.00,48.36,,24.75,6.86,,10.18,-13.42,18.52,53.99,21.53,16.50,17.71,22.26,127.33,51.85,1886.05,1025.34,1214.24
Marsons,517467,MARSONS,INE415B01044,Electrical Equipment,Heavy Electrical Equipment,112.90,1941.09,149.89,65.34,41.92,-45.61,0.00,0.03,0.26,45.54,85.72,53.65,23.52,25.39,17.26,-0.05,0.70,2.69,0.17,0.13,277.36,20.77,0.00,43.55,0.52,26.82,37.46,8.93,163.10,129.60,32.05,0.13,0.17,45.94,92.26,245.03,22.59,159.55,59.80,47.03,20.62,9.20,8.03,6.48,-13.25,14.51,100.24,17.26,14.96,16.36,14.95,12.64,43.59,1930.80,145.24,124.62
Rubicon Research,544578,RUBICON,INE506V01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,1439.60,24014.12,111.83,43.49,97.33,,0.24,0.83,0.63,36.57,84.55,59.86,20.26,28.35,22.82,-23.88,311.01,14.95,10.02,7.54,64.57,24.45,0.00,58.78,0.94,67.06,33.58,18.44,104.03,68.79,8.60,,,475.53,513.92,1753.96,76.79,155.01,412.02,352.49,23.10,53.85,43.30,72.80,,319.67,61.78,22.82,19.93,17.18,22.74,78.07,362.71,23979.11,932.94,1251.23
Sejal Glass,532993,SEJALLTD,INE955I01044,Industrial Products,Glass - Industrial,738.00,816.28,198.94,69.48,27.72,47.44,1.34,1.76,0.56,62.78,169.37,69.95,19.32,18.60,15.70,-45.76,202.46,25.21,4.44,0.19,104.40,15.18,0.15,14.56,0.71,42.95,24.44,5.56,42.69,46.98,2.53,0.19,4.44,100.81,114.55,396.50,11.33,49.68,103.99,77.15,15.87,8.12,4.41,5.01,-20.54,31.28,44.33,15.70,13.98,13.53,14.47,132.75,53.57,1003.76,691.45,730.28
Signpost India,544117,SIGNPOST,INE0KGZ01021,Media,Advertising & Media Agencies,326.90,1750.51,2183.70,46.08,25.00,35.22,0.71,0.31,0.95,27.08,105.70,60.38,28.47,25.13,25.46,-34.13,202.53,13.10,0.02,0.23,20.10,21.89,0.00,12.76,0.92,100.00,18.96,6.09,32.57,-6.60,6.87,,,142.34,161.92,575.93,21.01,26.22,134.02,137.65,26.29,15.62,15.28,18.11,,96.91,29.45,25.46,19.73,,26.61,53.71,110.85,1929.18,257.81,283.80
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,666.85,8511.20,92.94,32.41,39.26,5.01,0.02,0.91,0.94,20.86,34.45,64.15,98.75,122.19,73.44,190.79,5.10,16.96,5.36,7.99,26.21,111.61,0.00,28.88,0.92,100.00,43.64,32.79,191.79,70.07,1460.35,7.93,5.36,94.29,103.93,375.51,59.06,41.58,89.22,88.07,74.01,53.19,45.84,58.66,-10.85,3.84,40.14,73.44,66.53,66.32,79.03,20.34,292.07,8508.29,604.85,653.47
