Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,15.08,264.16,-98.57,-24.37,62.48,-22.87,1.95,-3.18,-2.80,5.88,-66.25,27.92,1351.90,16.34,0.68,-8.30,96.65,0.21,0.10,0.94,3.41,3.39,99.68,16.59,0.67,47.25,16.11,5.37,-64.40,-111.57,2.03,-0.67,0.10,92.24,68.45,364.38,0.04,-22.33,108.97,94.72,0.89,-0.63,-1.34,1.40,-0.23,313.43,23.55,2.24,1.98,-12.41,-3.46,2.81,16.83,356.06,15.51,14.68
ARCL Organics,543993,,INE372M01010,Chemicals & Petrochemicals,Commodity Chemicals,239.80,191.84,128.57,-0.58,20.05,-11.04,0.86,-0.73,-0.88,5.40,-29.42,69.22,5.65,17.05,12.44,-39.08,70.93,12.90,0.75,0.00,18.16,19.44,0.00,6.34,0.55,38.66,18.91,2.33,2.36,14.11,5.48,,,65.31,66.95,271.92,9.12,-22.84,53.47,86.19,23.35,-8.81,7.22,2.79,,20.32,15.37,9.05,9.50,9.89,10.86,102.75,31.32,240.13,219.79,199.01
B & A,508136,BNALTD,INE489D01011,Agricultural Food & other Products,Tea & Coffee,385.00,117.99,167.99,28.71,159.45,-12.48,0.81,0.19,,11.00,-92.03,59.47,-5.03,3.75,5.98,-25.34,110.70,2.39,0.01,0.00,-1.05,7.06,0.00,8.46,0.65,71.70,20.84,0.87,-21.71,4.94,2.08,0.00,0.00,43.72,71.60,299.10,1.89,,80.88,102.90,8.92,-5.51,26.38,-20.80,0.32,30.23,12.13,4.05,3.53,7.37,-35.54,442.42,15.51,193.42,401.72,399.81
BN Agrochem,526125,BNAGROCHEM,INE00HZ01011,Commercial Services & Supplies,Trading & Distributors,248.00,2416.21,-85.16,26.66,141.55,-22.62,0.11,0.70,0.32,84.49,-60.97,5.93,5.08,4.38,-0.51,24.04,50.65,1.75,0.00,0.00,,7.75,0.00,554.96,0.59,3.19,21.23,5.19,172.46,82.91,1.80,0.00,0.00,261.36,257.51,927.48,2.98,440.87,192.12,216.49,2.30,-6.78,17.92,2.95,-52.67,0.56,53.17,2.53,2.45,,1.61,47.73,3.63,2452.94,282.99,276.41
Bosch Home Comfort,523398,BOSCH-HCIL,INE782A01015,Consumer Durables,Household Appliances,1698.75,4629.97,29.34,28.49,229.32,-2.08,0.16,-42.80,7.64,12.57,-49.90,74.52,-463.02,4.64,2.45,15.73,81.68,1.72,6.30,0.38,4.21,3.71,32.20,50.64,0.96,27.73,41.34,9.22,6.71,15.34,3.26,-0.25,-3.74,965.35,1095.52,2941.58,22.79,30.00,475.57,405.14,3.74,-19.03,-39.96,38.83,0.27,193.02,117.34,2.50,4.88,2.35,7.02,184.07,36.90,4655.09,1448.65,1430.04
Bright Brothers,526731,,INE630D01010,Industrial Products,Plastic Products - Industrial,241.10,136.95,-5.99,21.77,23.90,-33.44,0.87,2.03,0.49,12.23,-37.72,54.54,13.12,11.74,6.55,-2.32,70.69,10.09,0.00,0.00,21.96,9.55,0.00,6.76,0.63,30.72,22.63,1.69,7.33,0.30,1.75,0.00,0.00,91.60,123.09,397.05,2.98,48.77,83.39,98.97,7.20,-1.38,2.01,2.12,0.33,19.83,22.44,6.78,8.53,5.55,7.00,142.46,16.73,198.58,250.25,233.18
Calcom Vision,517236,,INE216C01010,Consumer Durables,Consumer Electronics,75.60,105.73,-79.37,33.27,97.90,-27.31,0.75,7.89,-2.83,26.74,-80.26,64.32,6.34,6.61,5.37,-12.04,63.90,0.77,3.06,7.28,10.90,6.73,0.00,10.72,0.51,23.05,40.49,1.25,6.57,31.13,1.32,-0.32,-0.14,68.04,60.08,233.31,0.13,-34.61,55.13,50.06,5.94,-0.95,1.98,-0.08,0.13,31.55,50.68,5.84,7.43,,4.63,60.69,9.23,160.87,88.31,78.52
Comfort Intech,531216,COMFINTE,INE819A01049,Beverages,Breweries & Distilleries,6.62,211.15,-8.43,56.26,,-23.41,0.11,1.90,,15.72,-144.24,56.12,3.43,2.68,6.81,-5.95,19.15,-0.11,0.00,0.00,0.84,5.07,27.84,34.51,0.72,15.04,46.24,1.22,116.24,101.92,2.76,-0.48,0.00,25.21,31.72,156.47,4.67,,61.37,38.17,4.63,-0.32,-1.92,-5.75,-1.34,8.91,17.69,7.47,6.08,6.07,11.66,5.40,5.52,223.60,6.92,6.20
Ester Industries,500136,ESTER,INE778B01029,Industrial Products,Packaging,102.14,1064.16,360.06,27.78,,-5.09,0.93,-3.22,,10.11,-107.51,62.32,3.03,2.76,8.29,27.36,729.01,-0.30,0.15,0.03,7.27,1.41,0.00,12.01,0.77,35.76,20.63,1.28,21.34,3.36,1.05,-0.13,0.14,343.82,432.16,1469.15,18.62,,338.98,354.19,11.37,-12.41,-15.78,7.87,-1.72,815.71,14.07,6.76,11.50,8.10,12.22,80.21,69.59,1688.31,97.79,91.48
Focus Lighting,,FOCUS,INE593W01028,Consumer Durables,Consumer Electronics,67.58,455.79,81.94,12.87,74.35,-30.35,0.16,4.10,-1.93,13.18,-54.49,55.42,6.68,6.56,10.53,1.88,19.07,0.95,0.00,0.03,3.56,13.30,0.00,21.94,0.68,44.50,40.49,3.75,106.47,132.80,6.10,0.03,0.00,57.93,46.05,185.36,2.82,-38.56,36.30,45.08,13.36,-0.62,1.61,2.59,-1.38,2.95,47.53,9.68,12.41,13.02,11.89,18.03,11.34,474.20,80.32,76.27
IL&FS Inv.Manag.,511208,IVC,INE050B01023,Capital Markets,Asset Management Company,8.54,268.81,23.86,40.86,66.05,-2.29,0.00,-1.86,-2.10,111.37,-76.66,50.42,3.47,4.07,-2.23,-9.02,0.00,0.16,0.00,0.00,-9.91,5.79,0.00,20.26,0.86,100.00,36.61,1.40,330.97,253.75,,0.00,0.00,35.21,8.17,57.28,1.09,-31.38,6.73,7.17,-18.60,-2.93,3.53,2.22,0.00,0.00,34.41,-2.77,29.03,19.76,10.74,6.07,8.88,183.78,8.10,8.20
