Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
3B Blackbio,532067,3BBLACKBIO,INE994E01018,Healthcare Services,Healthcare Service Provider,1367.10,1173.35,-24.31,50.65,21.14,1.32,0.01,0.88,0.67,54.30,13.23,40.95,32.72,25.48,34.90,26.97,3.11,64.70,2.15,2.50,31.90,24.06,0.00,13.31,0.78,77.46,37.02,3.63,142.71,175.80,226.24,-0.56,2.15,35.43,33.49,153.17,9.53,31.41,50.35,33.90,25.44,22.44,15.04,9.56,2.52,2.03,19.34,40.01,51.94,45.29,23.96,377.95,74.66,1075.84,1325.60,1314.77
Aartech Solonics,542580,AARTECH,INE01C001026,Electrical Equipment,Heavy Electrical Equipment,51.65,164.09,63.54,67.97,30.73,-6.76,0.16,-0.19,0.69,28.61,102.27,52.75,13.86,17.81,16.13,-1.12,5.62,1.58,0.00,0.01,23.52,9.42,0.00,19.20,0.80,49.52,34.64,4.68,215.98,131.03,10.85,0.01,0.00,17.46,7.29,43.83,1.57,44.22,7.38,11.70,12.21,0.58,2.15,0.37,0.07,2.69,59.94,15.02,4.43,8.14,8.30,11.05,8.14,166.26,49.04,48.77
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3698.00,43747.48,332.48,89.51,91.70,165.33,0.14,0.04,1.89,51.85,214.81,74.71,20.91,28.56,14.52,-119.56,256.34,40.56,13.61,6.35,22.71,25.07,0.00,60.68,0.90,30.80,34.72,23.17,73.90,40.80,27.64,,,1422.03,1402.42,4883.20,142.20,48.42,1139.11,919.64,14.52,95.98,69.98,169.13,,426.87,95.16,13.41,7.96,9.47,18.06,159.33,663.33,43804.23,2683.97,3538.57
Advait Energy,543230,ADVAIT,INE0ALI01010,Electrical Equipment,Other Electrical Equipment,2013.15,2203.00,65.95,51.37,38.14,8.31,0.34,-0.18,0.46,69.89,70.61,66.76,36.19,27.91,12.26,-119.33,95.25,52.79,0.04,0.68,89.99,30.67,0.00,20.48,0.81,30.70,26.25,7.95,-4.78,-7.55,6.27,0.68,0.04,228.20,179.27,775.37,13.89,82.99,211.03,156.87,13.82,17.39,10.17,17.67,-6.77,15.18,51.26,11.73,13.09,13.24,12.61,254.15,102.90,2182.34,1976.59,2149.73
Aether Industri.,543534,AETHER,INE0BWX01014,Chemicals & Petrochemicals,Specialty Chemicals,1587.40,21069.33,27.98,27.25,87.81,128.24,0.19,0.65,4.31,34.44,30.35,74.92,11.93,11.92,31.34,-480.93,457.94,17.73,10.49,7.42,21.23,9.86,0.00,52.27,0.92,49.83,28.83,8.61,159.97,226.26,17.92,5.55,-3.16,305.12,326.56,1230.56,62.75,20.35,318.78,280.10,31.47,64.48,53.96,55.06,-6.88,15.72,88.47,31.34,28.91,28.47,27.10,185.10,338.12,21521.61,1242.43,1546.99
AIA Engineering,532683,AIAENG,INE212H01026,Industrial Products,Castings & Forgings,3930.05,36675.39,-1.28,12.42,28.87,31.77,0.00,0.47,4.35,5.63,14.70,58.50,34.29,21.12,27.65,491.06,10.27,135.69,22.10,16.87,-3.44,20.99,0.00,20.85,0.76,54.77,31.66,4.56,193.29,146.83,54.92,-1.18,1.17,1266.27,1168.02,4548.94,301.11,6.64,1066.89,1047.76,26.36,292.95,277.48,393.27,0.03,502.55,30.82,28.54,26.91,25.99,28.64,859.98,1634.36,36461.80,4142.63,4393.54
Ajmera Realty,513349,AJMERA,INE298G01035,Realty,"Residential, Commercial Projects",113.25,2228.69,12.49,22.65,14.37,-41.17,0.51,0.44,0.51,43.14,16.39,68.56,10.59,14.28,27.09,39.86,711.22,7.85,0.82,0.95,36.25,12.89,0.02,8.88,0.51,33.85,24.70,1.62,590.73,672.39,3.83,0.93,0.00,431.13,316.97,1148.89,43.06,27.93,181.75,219.04,28.79,27.87,31.24,55.60,-1.18,843.34,22.15,27.39,31.26,28.22,24.84,71.06,316.25,2852.93,137.08,121.15
Algoquant Fin,505725,ALGOQUANT,INE598D01035,Finance,Other Financial Services,64.49,1812.81,263.08,42.88,40.51,-15.51,0.25,1.84,0.30,15.86,135.42,73.68,29.24,31.43,26.58,56.74,34.24,1.59,0.09,0.81,159.59,35.24,32.42,24.58,0.83,100.00,24.08,13.48,-57.29,-115.28,7.70,-4.81,0.01,77.28,77.87,258.84,16.52,136.18,52.40,51.29,33.67,5.99,6.34,15.88,7.77,30.47,76.27,22.10,20.85,21.89,26.92,4.79,64.73,1691.82,61.06,63.94
Ashapura Minech.,527001,ASHAPURMIN,INE348A01023,Minerals & Mining,Industrial Minerals,522.00,4986.49,4.99,19.22,12.20,-14.46,0.88,1.11,0.24,62.64,18.75,48.04,24.31,20.72,10.08,184.48,1443.74,42.59,0.40,19.22,41.95,18.84,0.00,8.70,0.56,76.90,14.52,3.00,24.84,27.39,4.86,2.13,0.26,1968.63,1616.12,5497.68,115.34,50.60,960.43,952.50,11.22,75.95,105.98,110.73,2.71,757.97,14.76,10.59,13.78,10.66,6.50,172.65,563.20,6100.90,624.13,614.15
Asian Hotels (N),500023,ASIANHOTNR,INE363A01022,Leisure Services,Hotels & Resorts,382.10,1629.03,73.87,10.44,121.30,21.84,0.36,1.53,4.52,6.76,115.61,0.00,2.96,3.52,12.63,-138.39,333.73,-55.01,1.97,2.58,10.07,4.87,0.00,33.55,0.90,88.78,27.69,1.78,-365.09,-839.73,0.52,2.58,1.84,102.91,77.63,348.42,-3.54,26.83,90.98,76.90,17.47,-56.47,-63.53,39.95,-50.69,1081.67,378.56,13.27,26.42,19.54,22.83,215.93,35.45,1778.58,314.04,331.21
Asian Hotels (W),533221,AHLWEST,INE915K01010,Leisure Services,Hotels & Resorts,506.30,589.91,76.73,9.44,6.53,,,3.12,0.18,8.19,85.99,72.11,33.14,19.66,44.49,159.68,839.24,61.08,0.57,0.00,7.82,17.87,0.00,6.39,0.67,100.00,27.69,,-413.21,-411.43,3.27,0.00,0.00,121.50,97.71,443.81,14.28,35.95,110.82,113.78,40.32,21.65,24.41,29.94,1.39,959.18,8.00,45.16,42.81,40.61,44.54,-11.54,164.92,1325.29,428.33,535.11
Aspinwall & Co,,ASPINWALL,INE991I01015,Transport Services,Logistics Solution Provider,252.85,197.71,78.59,25.76,16.65,-3.21,0.40,-1.66,-0.78,28.38,56.52,64.46,7.88,6.50,4.65,-20.30,79.46,20.12,0.00,0.00,12.30,7.38,0.00,10.09,0.84,46.89,27.34,0.98,80.61,72.86,3.09,0.00,0.00,130.30,113.18,440.33,-0.70,-21.44,113.66,83.19,0.96,7.62,2.80,6.01,0.00,16.73,15.98,4.42,5.79,5.49,7.01,256.96,20.44,264.98,243.98,249.53
Astra Microwave,532493,ASTRAMICRO,INE386C01029,Aerospace & Defense,Aerospace & Defense,1612.40,15308.92,-24.09,-11.55,80.95,50.77,0.22,2.00,2.01,4.02,16.28,6.54,17.12,20.28,28.51,304.12,287.66,19.91,16.09,10.74,12.55,19.25,0.00,43.41,0.82,47.32,83.76,11.63,266.62,272.83,5.93,7.71,6.23,488.24,176.66,1139.74,12.35,40.37,260.25,214.59,18.72,46.81,23.90,105.98,0.00,186.30,58.27,28.74,25.63,21.92,33.08,138.46,307.20,15343.73,1366.65,1680.10
AVT Natural Prod,519105,AVTNPL,INE488D01021,Agricultural Food & other Products,Other Agricultural Products,85.47,1301.71,156.60,82.16,15.55,21.50,0.20,0.18,-3.04,40.77,54.04,75.00,16.29,14.22,13.82,-11.39,113.61,5.50,0.02,0.03,7.00,14.33,0.00,10.79,0.88,47.91,15.76,2.32,167.14,169.94,12.24,-0.04,0.00,226.49,241.21,822.02,31.10,-5.11,194.01,160.31,16.56,17.37,13.29,22.02,0.00,37.00,20.33,12.56,13.09,15.99,15.76,36.73,116.36,1380.39,72.25,80.74
AWFIS Space,544181,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,274.30,1962.92,140.08,26.96,23.16,-48.95,2.72,8.70,0.44,23.29,69.78,17.00,18.26,13.17,36.97,405.77,1501.18,11.86,38.51,26.92,39.91,11.75,0.00,4.94,0.43,97.38,18.64,3.54,-98.34,-85.88,1.46,,,410.14,424.92,1583.70,23.96,52.95,381.78,366.86,38.19,21.66,15.97,23.25,,692.84,62.23,36.81,33.70,32.82,36.99,77.22,275.25,3374.51,352.65,275.42
B.L.Kashyap,532719,BLKASHYAP,INE350H01032,Construction,Civil Construction,52.24,1177.72,-7.83,2.59,32.04,-20.92,0.57,73.98,-0.85,21.77,127.36,61.73,1.13,12.64,7.55,63.64,299.12,0.03,0.17,0.26,7.51,11.62,94.44,11.49,0.76,18.05,15.07,2.26,66.08,76.01,2.48,-0.17,0.17,363.71,345.12,1387.83,10.00,-37.89,323.87,355.13,8.28,11.83,-8.62,23.60,0.12,319.78,32.83,7.41,5.66,7.71,7.40,23.37,108.69,1433.45,55.25,55.03
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,11424.00,313935.90,45.93,65.14,26.58,29.40,0.58,0.25,1.26,36.91,55.23,55.01,60.99,28.24,19.82,1884.52,22713.15,420.80,13.42,9.01,19.94,29.94,0.01,18.83,0.92,35.38,35.54,8.24,22.22,-4.69,12.60,-4.66,3.86,17832.46,21688.83,71460.48,3225.63,21.12,16204.45,15734.74,20.88,2749.82,2122.03,3633.09,0.02,124.23,27.29,20.82,18.74,18.89,17.25,1389.35,16785.68,333577.16,10280.50,11401.83
Bajel Projects,544042,BAJEL,INE0KQN01018,Electrical Equipment,Heavy Electrical Equipment,169.70,1963.37,59.80,-6.71,72.73,-15.61,0.49,1.04,,2.11,109.15,62.53,18.93,10.96,3.43,-12.59,366.81,1.91,9.20,0.53,,11.25,2.55,18.16,0.75,33.41,34.64,2.65,22.76,23.94,1.64,,,1007.77,566.88,2750.82,4.73,,562.34,613.83,3.27,-0.42,3.60,14.14,,,108.57,3.97,2.90,,3.03,64.61,97.22,2146.97,184.45,185.84
Banka Bioloo,,BANKA,INE862Y01015,Construction,Civil Construction,78.11,85.38,-200.00,-5.30,134.20,-13.35,1.03,2.69,-3.58,7.74,107.16,52.02,7.22,5.06,11.74,-4.94,40.80,0.31,0.00,0.00,10.47,0.30,0.00,16.41,0.80,98.39,15.07,2.16,88.17,105.27,1.02,0.00,0.00,17.67,10.55,56.49,-0.01,-37.53,15.26,13.01,17.16,-0.13,-1.08,1.88,-3.10,16.71,29.01,9.23,-5.26,7.41,19.02,36.21,4.01,115.17,79.39,82.53
