Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50,Volume 1month average,Volume 1year average,Volume 1week average
Ace Men,539661,,INE023R01018,Retailing,Distributors,108.25,139.79,,,873.77,71.04,0.19,-37.44,,,,0.61,0.46,,2.67,-5.99,12.64,0.12,0.00,0.00,,0.00,0.00,390.69,0.95,3.64,30.16,2.09,259.23,259.23,2.44,0.00,0.00,2.36,8.51,10.87,0.12,,,,2.82,,,0.02,-1.94,,812.29,2.67,,,3.81,51.75,0.39,152.37,94.84,99.24,16343,3220,26271
Cello World,544012,CELLO,INE0LMW01024,Consumer Durables,Houseware,378.95,8370.48,0.52,-0.43,26.37,-36.72,0.01,0.77,3.21,7.24,-3.47,75.00,16.78,17.41,19.87,37.31,38.11,14.16,15.14,3.23,8.95,25.78,0.00,16.01,0.56,52.39,27.43,3.10,184.83,158.86,219.24,,,653.59,526.72,2321.41,73.40,8.21,553.66,587.44,18.80,69.41,91.32,90.12,,335.11,41.00,20.28,23.87,23.34,19.73,122.28,436.28,8280.82,447.32,370.47,2247122,447208,10681689
Cropster Agro,523105,,INE293E01031,Industrial Products,Packaging,5.59,469.56,34.51,7.00,31.04,-68.05,0.00,-0.09,0.08,-12.69,10.35,0.00,12.61,12.45,8.66,-1.19,0.00,0.18,0.00,0.00,,22.27,0.00,30.20,0.17,9.98,20.12,3.87,227.09,247.68,,0.00,0.00,17.68,54.59,178.82,5.34,388.86,54.06,52.49,9.78,4.21,4.12,1.47,0.00,0.04,108.58,8.13,6.74,,8.71,1.45,15.54,469.38,10.21,5.90,19667561,2201499,23282093
Kabra Extrusion,524109,KABRAEXTRU,INE900B01029,Industrial Manufacturing,Industrial Products,512.10,1790.94,77.14,44.81,2558.55,103.61,0.33,-1.67,,3.14,-95.56,60.44,0.09,0.06,4.00,-28.81,145.06,0.15,0.02,0.36,-12.36,5.98,0.00,48.72,0.98,34.10,31.46,4.05,114.97,102.91,0.60,-1.91,-0.07,120.15,124.49,489.58,-1.74,,110.34,134.60,4.98,-4.98,0.33,7.09,0.21,73.98,41.76,2.31,10.41,9.55,2.45,126.24,7.50,1932.92,275.86,333.58,504044,92473,1311358
Landmarc Leisur.,532275,,INE394C01023,Finance,Non Banking Financial Company (NBFC),1.91,187.18,-92.45,-100.00,,-19.09,0.07,4.78,,-93.91,-360.00,61.22,-1.55,-1.55,-1342.86,-3.41,3.00,-0.01,0.00,0.00,-59.71,-0.95,0.00,-289.35,0.51,,20.35,4.30,52716.43,19340.65,,0.00,0.00,0.03,0.00,0.07,0.04,21.94,0.02,0.01,,-0.32,-0.19,-0.19,-13.77,11.80,,-1342.86,14.78,-228.57,-733.33,0.45,-0.66,188.08,2.05,1.90,1594011,223660,1316223
Minolta Finance,532164,,INE514C01026,Finance,Non Banking Financial Company (NBFC),1.23,61.50,-75.00,1482.35,,4.88,19.11,-7.04,,1072.55,-14400.00,3.59,6.31,6.31,64.80,10.00,177.93,-0.03,0.00,0.00,171.14,2.43,0.00,30.84,0.80,100.00,20.35,6.63,32.96,-41.12,0.79,0.00,0.00,4.56,5.38,11.96,-0.07,,-0.04,2.05,73.05,-5.75,0.15,2.44,0.00,0.92,,64.80,13.73,54.99,71.27,0.19,7.75,239.33,1.19,1.25,260934,47358,580924
Sicagen India,533014,SICAGEN,INE176J01011,Commercial Services & Supplies,Trading & Distributors,61.51,243.38,52.64,39.81,11.74,-5.27,0.32,2.44,0.73,22.14,35.87,61.13,6.15,5.95,3.98,38.20,159.02,5.17,0.58,2.47,2.83,5.30,0.00,6.13,0.77,11.44,21.99,0.48,82.68,88.98,3.30,-4.87,-0.02,277.91,285.96,1054.90,6.93,15.99,264.27,226.76,4.34,4.93,4.14,4.46,5.67,121.24,17.31,4.04,4.06,3.46,4.04,125.09,41.06,317.85,56.28,53.86,159074,28736,786007
Simplex Castings,513472,,INE658D01029,Industrial Products,Other Industrial Products,100.00,409.96,83.33,-18.39,18.74,38.46,0.44,0.64,0.25,18.05,44.75,50.36,29.42,24.28,18.43,-5.18,50.17,5.19,0.00,7.46,20.28,19.62,0.00,11.51,0.80,34.44,24.02,3.60,106.66,68.07,5.29,7.46,0.00,47.53,54.76,202.90,6.82,74.24,55.41,45.20,19.89,5.58,4.74,4.76,-6.17,65.63,14.95,18.43,18.08,15.87,16.20,27.70,36.11,458.63,94.22,101.04,178595,35317,453967
Steelco Gujarat,500399,,INE629B01032,Industrial Products,Iron & Steel Products,160.45,101.02,-108.30,1557.14,,,83.38,2.68,,1300.24,-85.70,74.65,-10.75,-12.21,-31.57,-109.33,226.80,-12.51,0.00,0.00,,-7.52,0.00,-17.75,0.90,12.34,21.97,175.79,346.48,1983.82,-1.44,,,5.53,33.64,58.53,-16.06,,19.02,0.33,-22.77,-7.87,-4.64,-8.70,,209.05,,-31.57,-225.12,,-74.86,0.91,-22.03,316.09,44.33,105.65,33956,5496,30750
Tembo Global,,TEMBO,INE869Y01028,Industrial Products,Iron & Steel Products,64.65,1198.93,83.56,26.27,13.12,25.05,0.85,-0.92,0.10,46.60,71.71,39.04,18.38,22.84,13.07,-186.83,385.82,4.92,1.56,8.25,63.41,26.09,40.65,9.06,0.77,115.45,21.97,2.62,132.30,54.02,6.18,6.31,1.56,250.70,345.96,1090.19,26.91,135.64,245.41,248.12,11.28,21.93,20.09,25.32,-16.39,41.00,26.74,13.07,12.38,10.44,17.24,24.38,154.53,1459.98,57.48,57.20,1527343,252559,7320532
