Symbol,Exchange,Description,Market capitalization,Price,Sector,"Gross profit growth %, Quarterly YoY","Revenue growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Net debt, Annual","Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months",Upcoming earnings date,"Cash and equivalents, Annual","Long term debt, Annual","Earnings per share diluted growth %, TTM YoY","Return on invested capital %, Annual","Debt to equity ratio, Quarterly",Performance % 1 year,"Net margin %, Trailing 12 months","Revenue growth %, 5 year CAGR","Price to earning to growth, Trailing 12 months",Analyst Rating,"Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual","Interest coverage, Annual","Return on capital employed %, Annual","Sloan ratio %, Annual",Buyback yield %,"Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Cash and short-term investments, Annual","Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day",Total common shares outstanding,"Number of employees, Annual","Free cash flow, Annual","Free cash flow, Trailing 12 months","High, 52 weeks","Performance %, 1 week","Performance %, 1 month","Average true range, 14, 1 day","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Volatility, 1 month","Volatility, 1 week","Low, 52 weeks","Relative volume, 1 week",Volume,"Exponential moving average, 21, 1 day",Industry,Gap
NET,NYSE,"Cloudflare, Inc.",95467647901.33293,268.83,Technology Services,25.332383339156173,33.536288816018796,73.2987775943107,12.018891692885909,29.845666035387563,,224.42485027490645,-592288000,933.7011413228255,40.71852070288131,37.486958393544626,-8.99770463431969,62.22383731023037,-5.87552741901506,46233.0000,852900000,2156145000,-4.503367003366998,-3.36567574825705,2.3085855317454302,41.2441548888772,-3.72497697119091,38.13444531017682,-221.3853455836137,Buy,4,9.86932914416537,-3.0617878996531322,-38.2027150353639,-10.814601366886041,18.245067803618664,-0.05554970837325883,29.8112445149467,,420468.7742436,,99.0074,0.8274200638071606,228.6867209332583,205.69257838412562,4110615000,19.479999999999993,33.27549452183827,1.197862,1.6707941,4.3609800717597,0.918514002126905,41.54676258992806,247.448276,3838526.8333333335,67.62495007810625,321185000,5156,260562000,291769000,276.815,12.012499999999992,0.3583827976257063,13.267409295369676,227.52819999999988,205.53486666666674,208.62869999999992,5.244810987256872,4.570740879525428,158.83,0.410339275405948,6182628,238.5295548540773,Information Technology Services,4.696021005857403
MTCH,NASDAQ,"Match Group, Inc.",9139382016.044598,39.18,Technology Services,7.706609401437206,3.9409127768059307,70.3554564506969,29.353518026082266,0.22486810123548123,14.953057018548202,14.761515621096985,3059692000,11.430599691449212,3.4347592186726916,2.6912684885281077,26.6012642782446,,,46238.0000,1027838000,3650767000,29.26492353231376,16.8826654667498,,21.150278293135422,18.8273252512178,7.837450010939939,0.4912626925731788,Buy,8,0.728788717536649,7.527925361543118,6.323433931318664,25.317668524142483,-9.415754220476952,7.155374388026992,12.890238205641952,2.945724851230734,1578631.5074694399,,99.16590000000001,4.055635306608557,35.79769062229545,33.99885913503817,1031299000,19.67012828344532,20.963260265514045,2.654199,1.3016512,30.0488103108195,0.24543795257618,52.02702702702704,41.3125,3503069.8,66.14821935727443,233267000,2209,1023615000,1019899000,39.785,1.898569570871253,12.68334771354615,1.1856687550462512,36.2241,33.427933333333335,33.42840000000001,2.9675641400941117,2.9296244312830053,28.81,0.4436507920707504,4798758,36.71706393112535,Internet Software/Services,0.6105654366870105
SPHR,NYSE,Sphere Entertainment Co.,5600763780.300178,156.48,Consumer Services,248.2141917837042,37.721955705090274,29.2658552828568,15.655078296292348,18.809822678010978,81.21237284616981,,440194000,16.24247736463691,4.456638165132351,4.099815579504372,-0.827976525832219,2.5608420928599833,5.18297190130914,46251.0000,521264000,881263000,,1.08092611147631,0.41743704310682705,262.2222222222222,8.58039510273531,9.844305737518798,,StrongBuy,7,1.59991820550244,-0.4773102165444242,-1.3213506081138546,-2.528346799260938,-4.6499241713006425,0.7325786555097484,,1.585673271927581,1109131.81818182,1.4371478519899,93.2968,9.295250571380791,145.81789098037856,110.68158143245466,521264000,19.816232771822357,70.04998913279721,-2.463333,1.6190695,27.4381676211249,1.10775405541,98.04370814240396,170.666667,742125.2666666667,52.588633108780364,28925500,1100,190999000,333495000,174.6,-7.947526325077956,12.20421626272765,8.128257550588042,144.40067999999994,118.07376000000004,105.40291999999998,5.266956168322035,6.501038674749849,37.89,0.4731448344102345,962840,156.21615161995027,Media Conglomerates,-0.8382284997689803
CHH,NYSE,"Choice Hotels International, Inc.",5047724644.0438385,110.95,Consumer Services,-7.915142093389198,2.317791263594304,48.8955492898758,14.499249433082435,0.7542722005200528,14.95484566653188,15.609611975576128,1977452000,14.338007494137264,4.43342921571213,3.0890298521415933,27.0075936050179,36.82865299077209,936.377614194549,46239.0000,44997000,2014085000,12.826205973599366,18.2629995753783,15.3508408100301,-15.045941807044404,21.4449538425486,15.582864217764003,1.13149107347736,Neutral,,3.13520999524565,1.8364128127440396,4.971036117084303,,10.827999285861882,2.5207793406508747,,3.5040392674563865,910372.291904219,,55.14589999999999,4.862207546759933,109.88937594321987,109.14790699844193,44997000,2.893443383103037,9.731975076649197,7.1078,0.678173,30.9208180950173,0.0648230617165946,-53.27520204168439,111.571429,697589.5,50.62791997683009,45495500,1754,231523000,223822000,136.45,-1.1052678491844148,1.788990825688076,4.316330699641896,109.69299999999988,105.0428,103.5834499999999,3.679292347651291,3.6608436750149203,84.035,0.5206293987656768,987333,110.6792825157956,Hotels/Resorts/Cruise lines,0.9752020061298385
BAND,NASDAQ,Bandwidth Inc.,2162911849.1729026,67.56,Technology Services,8.909185167113929,19.82484030739034,35.0024100664671,7.501820733679394,0.7121032162215243,,37.53333333333333,368519000,53.08421816678675,3.2163907975707833,2.5363435344005274,-1.81414582170582,5.331691841469767,-1.34580076343704,46232.0000,103160000,468581000,-849.2537313432836,-1.535715007832,1.04326165784589,324.90566037735846,-0.641077680247603,17.04847260721838,-0.18720962149933867,StrongBuy,5,1.21132271430959,-10.52019189513976,-7.085305719921104,-1.5245752749094952,-5.655251592006978,0.22696255521819814,16.618622291617196,8.614081017274025,685288.181818182,,96.67469999999999,2.1015640772994977,52.27097036855115,31.397446728885424,111636000,263.22580645161287,363.0568882796436,1.8,2.919127,6.05903394388351,0.973334594743089,39.37984496124031,55.75,1474196.1,63.282185252087196,30056700,1100,56550000,69263000,75.98,12.637545848616215,-5.589714924538848,4.968393379017102,54.400699999999986,28.49343333333333,25.291825,8.961296293594375,7.763263157746063,12.5,0.3632727516326651,1845798,59.125700536117336,Packaged Software,0.04944783253667568
FIVN,NASDAQ,"Five9, Inc.",1912951264.2319503,24.985,Technology Services,11.205293631100083,9.15750522872312,54.4708360077705,17.51336712244841,10.283721296276733,37.92501517911354,7.682014707898962,108179000,8.470159084736025,1.6935241995263057,1.7704760867011424,5.08367228454536,2.3057848112597235,7.664682843826,46232.0000,232084000,783696000,,2.65220523099977,0.9646589869472091,-8.830505382229527,4.87374670341925,21.44822687902648,,Buy,7,1.58298245775768,-1.8296262355554205,2.4932509235578286,2.3501774435868685,-17.26725770500595,2.29807213712004,12.997612019270935,0.5325289698831359,394875.60137457,5.59882784840154,96.0025,2.505677999490139,21.014147186422974,21.18965611647924,696919000,58.63492063492063,25.489703666499242,3.252402,1.4606134,19.9940069907091,0.754559781223203,3234.375,28,2890073.7666666666,68.91700457511146,76564000,2910,201244000,216235000,29.71,18.300189393939384,3.030927835051544,1.4146331233846994,21.539900000000003,19.013833333333338,19.852450000000005,5.936853883706175,5.993043759168684,13.29,0.33334094689263555,3507027,21.899495952415464,Packaged Software,1.5767634854771742
RXT,NASDAQ,"Rackspace Technology, Inc.",1684744175.2280154,6.76,Technology Services,-1.899441340782123,1.9086263901412683,12.4703528016603,3.3734221990542506,-1.877899967118483,,,3178100000,15.624008350285395,1.7856671269003912,0.59454584198043,-1.92336199229173,,,46245.0000,105800000,3139900000,52.74759391493325,-11.0613074680971,,408.2706766917293,-5.41061369700563,-0.15860508090449477,,Neutral,4,-1.13340977222394,-7.071147970318646,-0.5335413416536663,-3.16622691292876,-11.386527609114939,-0.029678096375215502,1.4558588077596157,10.8025152957172,537140,,38.5989,0.30796956347617144,5.0579080365480005,2.8367803734374912,105800000,589.7959183673469,569.3069306930693,-0.15918,2.9988542,11.4289949599763,0.26832198638366,,4.9,20402219.733333334,57.27518739005345,249223000,5000,90600000,76900000,8.6,5.790297339593117,25.650557620817846,0.9239189894085502,4.9517999999999995,2.4347486666666667,2.1736114999999994,16.518366324341187,14.22040002842101,0.393,0.22262819999131606,17065004,6.118926011838988,Data Processing Services,-3.035019455252909
RAIN,NSE,Rain Industries Limited,692795028.447143,208.03,Process Industries,28.678339402665603,19.97640137409183,30.4016167662201,-1.963139958624971,10.031798277746121,23.195370514907566,14.248630136986302,922375085,2.6311228468884886,0.36607306755582864,0.3741726971831402,8.47098735098982,,,46230.0000,104729192.5,870026508.75,,0.294699661238152,,42.291381668946656,1.70440622245712,10.05930777840347,,StrongBuy,,,0,1.3917166396646112,8.04195374249694,2.00694449027294,,0,3.7848081099131154,408707.65117672645,,52.1418,,176.6165182850232,151.3218093208294,170549476.25,76.14733276883997,45.83245706274097,0.16242499999999999,1.2123678,13.9131879755724,,,331,6139259.333333333,65.05554945763167,336346000,4589,-36819856.25,,214.17,14.478318291877613,8.23621227887618,9.481438933887565,174.00480000000005,145.68706666666682,141.33875000000006,5.200338152908022,5.1674331419669635,99.9,0.5635722626732352,6792776,190.46768377634766,Industrial Specialties,-0.45293912697227445
SENCO,NSE,Senco Gold Limited,562593592.257716,339.65,Consumer Durables,112.37434124780417,44.92571742134786,16.6084225085794,-6.82704569260133,33.216404617393735,9.693207762557078,16.046456440213284,233371837.89,7.64139517177554,0.8783611991401845,,10.5224892438105,,25.6165064219791,46338.0000,55243994.41,32665511.049999997,249.93458699929096,22.7658728538533,1.0737666309687302,-6.174033149171277,6.81277528075226,25.94389542264397,0.037281444262276746,Buy,,,,4.344126937486227,34.80326842313414,14.80127610172674,,,2.2522639015162853,,,35.5962,,333.15727815415005,335.7579811677118,55243994.41,1.6155572176514517,-3.5496237398835726,0.226335170231,1.4588398,11.4947752261854,,151.17327809968276,462.285714,799970.2,54.003523113146436,163838650,,-61540567.45999999,,404.85,2.924242424242417,-1.550724637681166,14.028791074174894,336.68199999999973,323.67366666666663,326.5022500000003,3.8951695305426046,5.503154883546393,276,1.642200207117354,1863837,333.65090972485984,Other Consumer Specialties,-1.054239877769286
MOSCHIP,NSE,Moschip Technologies Ltd,473262764.961058,242,Electronic Technology,-18.980358154267854,13.748634074496389,10.379811343584,10.675274853353441,25.341876982335993,137.5,,-6542351.654999999,73.20926239892714,7.461059523077872,,6.99185027251207,,9.5923391602658,,15962350.004999999,3549306.104,3.529411764705886,9.03685907905375,0.21560522180942499,38.285714285714285,6.03812639665425,40.94687739764014,37.3468749999999,NoRating,,,,8.501350621285793,9.637030830838706,9.176315835160615,,,-1.0259525318684415,,9.55766969035847,55.841300000000004,,209.7251508652483,198.39851227980324,15962350.004999999,37.82106042485335,21.018152722908436,,2.124017,10.1914146907007,,-8.888888888888896,,3393488.8333333335,68.31730933367731,194470000,,6679510.766,,288.45,15.292996665078606,13.08411214953271,10.329180146217153,212.09299999999956,197.76099999999985,210.5711499999999,4.139939965064943,5.925068488901056,146.8,1.5219531734742076,6055098,216.27090963893235,Semiconductors,-1.1509517485613079
