Symbol,Exchange,Description,Market capitalization,Price,Sector,"Gross profit growth %, Quarterly YoY","Revenue growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Net debt, Annual","Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months",Upcoming earnings date,"Cash and equivalents, Annual","Long term debt, Annual","Earnings per share diluted growth %, TTM YoY","Return on invested capital %, Annual","Debt to equity ratio, Quarterly",Performance % 1 year,"Net margin %, Trailing 12 months","Revenue growth %, 5 year CAGR","Price to earning to growth, Trailing 12 months",Analyst Rating,"Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual","Interest coverage, Annual","Return on capital employed %, Annual","Sloan ratio %, Annual",Buyback yield %,"Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Cash and short-term investments, Annual","Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day",Total common shares outstanding,"Number of employees, Annual","Free cash flow, Annual","Free cash flow, Trailing 12 months","High, 52 weeks","Performance %, 1 week","Performance %, 1 month","Average true range, 14, 1 day","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Volatility, 1 month","Volatility, 1 week","Low, 52 weeks","Relative volume, 1 week",Volume,"Exponential moving average, 21, 1 day"
NVDA,NASDAQ,NVIDIA Corporation,5019080000000,207.4,Electronic Technology,129.3272836358182,85.22763378875221,74.1454331711974,44.770258129648326,65.4735357900948,31.762075408128887,23.061366362606517,-51144000000,29.915003655302,19.5325356718779,20.44683045946402,64.0200243795638,25.698754589284587,114.288066963343,46260.0000,10605000000,10041000000,110.33338701884364,93.5673289355252,0.0655534751424742,21.244007950426752,62.9659435640713,66.89858183148777,0.2949525155405083,StrongBuy,7,51.8259098259452,0.7067859623319852,503.42471042471044,97.23334601072358,33.644096072107274,0.8868956063661069,8.565884652076058,-0.3838775050664265,5141380.95238095,100.65627671786983,96.1522,4.881964659095568,204.5980621207452,190.34397433361931,62556000000,3.7518759379689843,9.691921195292883,8.993396,2.210924,65.2934423707351,0.269443647246935,213.4224669026084,313.738596,148740793.2666667,52.12027772478745,24200000000,42000,96676000000,119076000000,236.54,1.4379340702337855,-1.7899422293777825,7.329970057977169,209.78859999999978,193.9719999999999,192.29020000000003,3.245225298274257,3.7667214979008845,164.07,0.651921494187862,122984681,204.8273345053608
AVGO,NASDAQ,Broadcom Inc.,1781475854738.846,374.45,Electronic Technology,53.5034468566725,47.87390029325513,65.664877757901,42.127506378449446,23.874432853763526,62.3356084568004,32.31867063714345,50283000000,43.429019678549935,24.206650165491897,25.475508911415847,44.1396673954813,20.31717472716007,37.2807212752024,46268.0000,16178000000,63165000000,125.81008946695735,16.5438007246766,0.7401785816104269,33.68201210260437,38.8484728019612,21.743712435641925,0.5217129833926075,StrongBuy,8,14.4345048187627,-1.1737089201877933,8.146728971962617,17.345767860814657,-2.2391461903537278,0.46545677158310744,17.181899290935558,1.4397010822882665,1935969.6969697,15.671504928136128,98.08869999999999,6.719031993437244,390.55215399711244,357.70322416753316,16178000000,-6.597655275629831,8.139719578935209,11.586182,1.4619318,55.7384217849334,0.176374077112387,85.59486780715397,527.72503,32051842.533333335,44.96740047757076,4757580000,33000,26914000000,32762000000,495,-6.897237624008556,-4.0388508751697785,17.193288155648432,404.0749999999995,365.5927000000003,363.4115250000002,3.5243299975552596,3.075458212693312,273,0.6106695999380991,23405319,386.904426557316
MU,NASDAQ,"Micron Technology, Inc.",963598195476.9204,853.2,Electronic Technology,890.2824858757062,345.71551446081065,72.6000841881383,4.4625180587511375,48.85110111106686,19.315359695373324,11.656049329078375,5041000000,13.807342979885911,10.456224333439533,11.469532755832244,65.7476128231828,9.563389569247313,66.6380585190662,46294.0000,9646000000,14718000000,697.287150515315,13.3850615251979,0.0633016957229657,616.8241965973534,55.9064625473558,11.76311929184266,0.02935913235290343,StrongBuy,8,22.2811140168259,-1.1722272317403066,12.543859649122806,15.222945434637145,6.1607768303582215,0.1465341058781403,10.161057306436941,0.2745343644483172,705245.2830188681,16.156740422350207,99.5607,22.85764192139738,900.3386106409807,560.115304628436,10311000000,82.7567741244511,141.63126593033135,73.198043,2.1421218,75.7294459091211,22.061135371179,1372.0935784196706,1578.955556,53281413.666666664,41.257407864753304,1129390000,53000,1668000000,26172000000,1255,-16.065754394939542,-22.41520414658543,84.4573046174352,929.5137999999997,567.5925333333332,479.66045000000025,6.8195787488774675,6.289090071971087,103.38,0.6451998195783766,46717586,979.284117083285
PLTR,NASDAQ,Palantir Technologies Inc.,322294650905.6148,134.44,Technology Services,99.29876140303988,84.71163256416494,84.0739416413006,46.93590314797676,56.18339093221548,151.46462370437135,92.23963093169986,-6950223000,155.8660286424025,60.215658955007015,65.82606058680287,38.1297598433743,38.14008908054129,32.8897063519213,46237.0000,1426314000,183474000,287.59825327510913,25.4522997173756,0.0250870360155192,-9.953114534494315,43.6725308153978,32.577315801498145,0.5239896665835064,Buy,8,129.80875638876,-2.167242168954626,,21.638101691419003,25.55068361033986,-0.0032377205053446354,12.460813961334804,-4.826007526941451,1010486.79160081,26.2302144466146,95.53179999999999,1.0456458456181512,132.50841512787613,142.63080763868442,7179561000,-7.483742215187696,-25.044603033006254,1.457508,1.5615168,38.6329590094051,0.0136522899937921,304.0572792362769,190.304348,41825099.4,55.69218258339538,2296070000,4429,2100591000,2688276000,207.52,5.261509552145317,-0.11144958763652997,7.010727563334086,132.5479,148.05590000000007,155.86895,5.171099202969799,5.669230754433659,106.37,0.6963996653229786,28949790,129.37832407669396
SNDK,NASDAQ,Sandisk Corporation,208966509062.30176,1411.08,Electronic Technology,1120.4188481675394,251.03244837758112,56.0376213592233,0.761386811692726,10.385712141677923,49.051868280083845,21.16921174375478,587000000,36.48996608566639,15.582411184944005,19.23202366504855,41.5807038834951,15.1585856971222,39.2972360275525,46239.0000,1481000000,2022000000,,-14.5925036681339,0.015025041736227,3200,34.1853762135922,,,Buy,,21.4561625647915,-0.6896551724137931,8.047619047619047,4.42003400026154,-17.566422795533306,-0.013877821919948845,15.39089055064582,0.8761194029850746,668636.363636364,,98.6748,28.40764331210191,1658.8993386787868,960.0083835506632,1481000000,53.2383475956735,231.55854225898167,66.657182,4.741962,42.7032766990291,1.14012738853503,,2356.26087,12425075.566666666,39.86887455393162,148089750,11000,56000000,4460000000,2354.3899,-23.12758735092855,-33.882485240371096,209.6027731180544,1725.3296,971.6291333333334,775.5276000000001,9.480322892331692,10.731240134724379,40.1,1.0040130150192192,17449904,1789.863724618856
ADI,NASDAQ,"Analog Devices, Inc.",185351225808.18118,380.53,Electronic Technology,58.02303878661361,37.2489269215793,58.6235310563976,38.82725738533701,16.89321605654812,56.5490697259704,30.75531441051317,5296193000,30.920107285861434,14.960273114244124,15.05074999099307,32.9673027716299,5.49318487361113,9.63870586928478,46260.0000,2499406000,8428969999.999999,83.19222497481829,5.37450877151916,0.25738961846193403,58.719499478623554,26.0077143258348,14.485112925374999,0.6983709247586186,Buy,7,9.15578858706814,1.3384644586121066,9.92540423789268,6.6794894208388635,-2.549009941342761,1.5851996592893922,16.017349644595814,1.0583542391977265,449783.95918367297,0.9715078417476127,99.724,9.307932585460936,395.0768838266431,338.75505664978374,3652321000,5.7997608919287,23.73752154261373,12.372821,1.1878572,48.3836390861583,1.10370510828654,109.73242392444911,462.214286,5100967.133333334,43.26162221749539,487087000,24500,4278649999.9999995,4565150000,445.91,-3.809403437815988,-10.797252631332194,16.822977703960568,407.64640000000077,350.9081000000003,323.8894749999997,3.3950277943069893,2.828669352390632,218.37,0.5819410545522282,4096268,395.3585156638468
WDC,NASDAQ,Western Digital Corporation,160901073004.295,466.81,Electronic Technology,83.77192982456141,45.4664341761116,45.402054852679,15.27310924369748,50.70444831407313,27.865760113657394,46.7267548383377,2613000000,39.50138116587237,13.533843339075743,16.885121847669197,31.1709263819309,16.637340477589788,85.8719795382648,46239.0000,2114000000,2824000000,218.5112653294039,12.8312080403607,0.17809917355371901,591.2631423071227,54.1648976819224,-10.670057130224286,0.14037340037253643,Buy,7,13.7876966979769,-1.1661807580174928,5.966386554621849,15.964024732996066,-0.6641908298814455,1.2610232872380156,10.441176470588236,1.0604707792207793,238000,19.610949575303643,99.06260000000002,7.506459948320414,537.9444866810671,353.0452689060148,2468000000,26.04563250978803,104.03426723195945,9.990208,2.1169503,34.2616965271291,0.984496124031008,483.37366548042706,643.347826,9480385.466666663,38.29622353713833,344682000,40000,1454000000,2905000000,799.87,-21.430975864274412,-32.02868479487459,53.91895067733157,553.8442,366.37296666666674,310.3444999999999,7.910385762058674,7.843364343559608,66.04,0.7050230086578678,10526996,567.8437252387928
CIEN,NYSE,Ciena Corporation,55037188721.429985,388.81,Electronic Technology,55.063497000244546,39.51236279596901,40.4879021035526,13.948611460262036,18.793535668519322,129.4178344373065,59.5103987461506,317454000,70.52579061958153,9.950339768444016,10.9938781393929,11.1989621396443,19.035360896362274,15.4641248533149,46268.0000,1091952000,1595277000,318.48446858894005,2.8215918185779,0.546492752119908,369.18064438276815,7.87014176310568,6.190752478447226,0.4373432166169473,Buy,8,15.5115411030479,1.1494887467705879,3.4763039271612803,6.757985903104774,-7.523769039231043,0.7023887102167307,15.603205949797328,0.7036862988495556,525276.101321586,4.44825056023296,98.8812,5.690822477684979,469.0206131148258,362.280700370945,1308100000,-22.31102763402402,57.355619409931606,6.53348,1.2738916,14.1087957767343,1.36768866957366,2309.3699515347334,588.74596,3378867.533333333,34.79048822878896,141553000,9080,665280000,832647000,637.51,-15.586191923577944,-15.242081398644086,33.118740330486155,503.3605999999998,391.4218333333335,338.90482499999996,6.802280320722466,6.0351060532989065,83.2,0.48727261694178614,2602410,451.2990230481534
TER,NASDAQ,"Teradyne, Inc.",50453537459.37712,322.3,Electronic Technology,89.23598454472553,86.83618214318493,58.5184973840856,14.122741418369667,13.269697468002414,59.65204516009625,43.218740868984995,-38759000,43.38556860194601,13.285722332485083,14.24736277148503,27.2122996059485,16.048279278897983,28.7497969725557,46231.0000,293751000,63899000,52.929521652986125,19.3153161821601,0.026209549159365603,248.47010487620284,22.5625394289265,0.43040793018811474,1.1963149408973628,Buy,5,23.8096597630218,3.483756075240236,100.4683026584867,22.358487821345605,5.933862208113159,1.1067251735313577,12.327477678746405,-0.047585022362836564,483215.909090909,17.003678681514923,99.3146,3.509230125098328,376.70276351042935,294.1244210801337,321998000,-14.222600734550486,40.35011322069327,7.457413,1.7423397,30.6224460358672,1.42556903245452,314.5126945126945,433.533333,4930708.433333334,39.28382973146712,156542000,6600,450406000,553181000,487.91,-15.014239004324438,-25.436668594563326,32.6068084847624,381.3978000000002,316.58883333333347,278.00544999999994,7.378456464498056,6.031043616385652,89.18,0.5640130339665106,3623881,376.901126298675
CRDO,NASDAQ,Credo Technology Group Holding Ltd,38781807725.64973,207.97,Technology Services,160.68150768907415,157.02279076606382,68.0052519781053,30.483942968251448,205.67592009615936,83.86563432534882,34.034540550067696,-1417838000,76.37800997888324,27.985560599715477,32.72261731564897,34.0258074953787,18.686458001069234,34.4076957766919,46274.0000,1164952000,20617000,789.7739504843918,33.9952002948349,0.0123317755469536,102.89756097560975,35.3736304560802,86.80161176253584,0.11577337170009018,StrongBuy,7,90.8277860513758,-8.325105597392051,,31.785231390313257,11.391916515763285,-1.9169039392362295,20.89563753261889,-2.9535707292278595,1654418.8351920699,34.4076957766919,89.8005,2.11227884430743,226.46184240458805,168.03967819841037,1443286000,27.00070226863302,38.600466511162935,6.110557,3.2015085,36.6408611686176,0.297361960961382,336.83424589347936,287.080818,9696483.6,40.62148100777212,186477900,807,406996000,406996000,308.6699,-24.146986413786816,-18.802951626127356,25.381434572872276,228.77020000000005,164.9047333333334,162.55624999999998,9.517909205659553,8.20053235678792,86.485,0.5832978437043678,7996003,243.61913699383095
