Symbol,Exchange,Description,Market capitalization,Price,Sector,"Gross profit growth %, Quarterly YoY","Revenue growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Net debt, Annual","Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months",Upcoming earnings date,"Cash and equivalents, Annual","Long term debt, Annual","Earnings per share diluted growth %, TTM YoY","Return on invested capital %, Annual","Debt to equity ratio, Quarterly",Performance % 1 year,"Net margin %, Trailing 12 months","Revenue growth %, 5 year CAGR","Price to earning to growth, Trailing 12 months",Analyst Rating,"Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual","Interest coverage, Annual","Return on capital employed %, Annual","Sloan ratio %, Annual",Buyback yield %,"Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Cash and short-term investments, Annual","Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day",Total common shares outstanding,"Number of employees, Annual","Free cash flow, Annual","Free cash flow, Trailing 12 months","High, 52 weeks","Performance %, 1 week","Performance %, 1 month","Average true range, 14, 1 day","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Volatility, 1 month","Volatility, 1 week","Low, 52 weeks","Relative volume, 1 week",Volume,"Exponential moving average, 21, 1 day"
P,NYSE,"Everpure, Inc.",27835588777,83.74,Electronic Technology,34.911489817272304,35.249362543915424,70.2299623036766,16.75368013316432,15.614059120676835,127.30313165095772,34.41557027142435,-1330683000,82.501462385532,6.745615288472626,7.3213291700256375,4.21425694151305,19.2812474096724,16.8456994713336,46267.0000,857273000,174384000,77.01829924650163,12.2841408915192,0.160151802393391,47.846045197740104,5.7464923522841,16.811610382486464,1.6564475235517069,Buy,7,5.1738633885496,-1.3035798615157324,34.019555555555556,4.4748006009739525,-12.445929932423514,0.8203455002492329,26.298997800342523,-5.023037491129264,572319.21875,13.6752341720616,94.63130000000002,1.4958703670817164,75.15658326481801,72.24417939238943,1549719000,11.757640464433456,26.247550128147136,2.433201,1.4550865,8.17635844677534,0.758128986616903,,93.894737,2537111.4,62.511302610044986,332405000,6400,613661000,513821000,100.5899,16.87369155617584,13.978494623655909,4.540893954619194,75.5348,71.33186666666666,74.13319999999997,5.933513639432333,5.823228164561374,54.37,0.5138825108368129,2389577,76.25602952837659
TPL,NYSE,Texas Pacific Land Corporation,26339954241,381.88,Miscellaneous,20.571838349256286,20.83599087675972,85.5398826018295,60.300555005700396,13.086425350264868,52.338856680783415,44.106532035562424,-129229000.00000001,37.88775176438319,31.115393749888263,32.53158399313488,74.4216203331248,16.92852057638891,36.4655313168511,46330.0000,145404000,16175000,9.453803573303722,36.9153374233129,0.010182872670388301,20.201568108398448,60.0251482375376,21.410935617420755,5.734019850938223,Neutral,,103.680558429517,-0.03301147599110525,858.204347826087,,32.72457497343011,0.03143513433714169,,-0.1973883982440652,7001666.66666667,25.786949370019542,99.51190000000001,7.074531376942761,402.8006212973448,394.42425271982853,145404000,-10.150110583031383,8.965359812817445,8.658128,0.6129709,82.1252048508686,0.839197923105051,18.4600423316744,442.333333,340248.93333333323,41.161889173910936,68974400,114,481313000,488213000,547.2,-3.924725772365911,-5.852768601153792,16.632902454007713,395.3227999999999,413.81020000000007,386.4828297517503,4.176834442922171,4.476228279048102,269.2330641,0.5766432756957663,350364,401.3181109916394
NVT,NYSE,nVent Electric plc,26227459620.000004,162.04,Electronic Technology,50.080688542227,52.76710621949954,36.9714522134878,9.55279854100845,29.50666977146469,44.7636675046272,32.15365813343291,1475400000,25.72154269474469,5.710459168390567,5.507568059577989,17.403806371535,6.578410520585138,15.7482413131528,46318.0000,237500000,1668400000,3.016591251885366,7.90269632252591,0.409566329729865,80.4253423894889,12.2258998758792,14.26518714336622,14.857471200861957,StrongBuy,7,6.81480826434409,1.995292195509326,8.324,10.597791490192417,-8.136429311577812,0.16242518572982553,2.0163879684570136,1.773104194207427,324425,8.472544832988454,99.0073,3.520414381474711,156.57700567980976,133.4200006731239,237500000,-6.118192352259562,50.70221989094455,5.039551,1.3690692,22.2010757136947,0.687995124923827,96.57851486627821,209.625,2273819.1,54.74217518634381,161858000,12000,371900000,577700000,184.64,15.949910554561711,4.9753822233739164,9.410341842002472,161.7866000000002,137.81826666666672,129.64715,5.2590740876270194,6.143704387002744,85.7201,0.7577914918384808,1903453,155.59194792621986
FWONA,NASDAQ,Liberty Media Corporation - Series A Liberty Formula One,23871178446,88.31,Technology Services,313.3333333333333,59.06040268456376,26.527602191319,16.75591253904507,22.693676430331234,28.362667009249744,50.74989856916434,4069000000,24.277023599312123,5.949047291613991,4.868040455120104,15.4867256637168,2.862629443947764,10.9100515123498,46240.0000,1055000000,5048000000,,5.14702707370785,0.649463200103479,-0.45090745124562226,17.4041297935103,31.38121477114484,,StrongBuy,6,2.74778653585704,-0.012994028958131891,2.42570281124498,4.815051020408164,18.749188206260552,0,,4.081243731193581,2677419.35483871,7.87058435127105,98.9872,2.796934865900383,87.56181628137179,84.85373757896241,1055000000,10.830823293172685,10.029902815848489,1.740102,0.7094799,24.5048461862621,0.406130268199234,1427.2727272727273,114.333333,181557.86666666667,46.684350199874466,23991100,1674,751000000,730000000,99.52,-5.165378006872855,-2.988025925519058,2.34008365633342,86.72879999999994,82.82426666666659,84.2141749999999,2.722039313604344,2.6603689348707737,73.7,0.7651742194650144,141233,89.69203459053796
IOT,NYSE,Samsara Inc.,22638205994,38.73,Technology Services,27.290767143083727,30.51645751790757,76.2462621237205,12.815983838234068,29.573830910847672,398.86714727085473,54.38804670659523,-767078000,136.09281799934126,12.654403828740982,13.107765492561795,-0.700683868842797,14.969851576994431,4.36496552017256,46261.0000,324843000,60202000,,-0.697427047271968,0.045781678042438594,2.5416997617156305,3.32325009606523,45.30307201937309,,StrongBuy,6,9.58825642539739,-24.5340427842974,,-3.6427732079905994,-2.196031446773573,0.01546058906314235,21.28886376483889,-6.923524049353298,394789.024390244,,95.5476,0.3997604517226231,34.7759073075106,34.12051035684989,839846000,30.623946037099486,56.16935483870966,0.712105,1.3358167,9.29836270184532,0.0511882054098044,,44.314286,5594414,58.7177955635506,372784500,4100,207444000,234929000,47.47,2.433218725204958,9.375882519062413,2.265374651241783,34.70420000000001,31.775066666666643,33.548949999999984,6.756451853454486,5.333689189959836,23.38,0.4170518957589919,3205465,36.315243810864615
ROKU,NASDAQ,"Roku, Inc.",21800365970,146.96,Technology Services,26.93907357682931,22.358504984951093,44.19159320248,6.619619690829133,15.180366738975778,110.51285907655286,59.38356017697077,-1793957000,46.11147521896932,4.011969081200566,4.4810299311765345,2.09201245887086,8.11994264765604,7.754504574281,46240.0000,1587068000,435899000,,2.89742063293628,0.18760950692308398,72.52876262033341,4.05787341268419,21.64660011118542,,Buy,8,6.3267044737597,-1.8541975893877072,-1.343126967471144,-0.0816928416168864,12.447617369909844,0.9903274114622581,15.34961943118488,-5.5317652427837105,1315903.05555556,3.43104078256045,99.23590000000002,2.723414821485327,136.99716310799582,115.61736958952268,2317281000,14.678111587982833,69.56270912657206,2.474759,2.0100203,8.70058713617153,0.0429269520076279,,156.909091,3477974.7,67.21120420167583,131949999.99999999,3600,313588000,411301000,148.88,2.2401558369277854,3.253003583222086,2.1639582509329887,137.13389999999993,115.3554333333333,111.95185000000006,1.249073862749734,1.0055320306410809,78.53,0.4843126003576128,3855363,143.23096988082267
MTSI,NASDAQ,"MACOM Technology Solutions Holdings, Inc.",20100884590.000004,263.46,Electronic Technology,26.7909956627576,22.49721264842912,54.0852436544063,16.962072166888255,32.57773671903484,114.2299687825182,52.39058647787548,-182523000,84.50605840907642,18.485523208817902,19.739468447108305,15.9601831226206,14.177618993037113,13.4920607658747,46240.0000,112142000,435596000,,-3.18730112440411,0.292027477205191,87.7297990594271,16.4601756725547,12.783931286821826,,Buy,7,19.57178829457,-3.160839935730506,23.50471356055112,7.474803555218862,1.8198907924393029,0.21086634177824504,24.3548257031733,-0.9459748013703244,483629,,90.40409999999999,2.162104313068145,302.87580356198447,259.958515373314,785975000,-25.548930398168824,12.110638297872333,5.028766,1.6966329,21.8747904668956,1.31796789375282,42.88447739775174,400.923077,1724710.8,41.7641403257342,76295800,2000,164067000,167682000,418.9,6.919362038878285,-19.920972644376906,20.126877933950304,330.0670000000001,277.4402333333333,249.30555,6.006420428610407,6.008354444564322,118.16,0.5734607908551843,1735516,278.85786017158716
FN,NYSE,Fabrinet,18711005051,522.22,Electronic Technology,34.95087994796436,39.285890440390844,11.9532911562477,6.062216336651803,18.604444657188267,44.90167923441356,37.81049558017158,-928773000,37.25907469975007,4.196030662280327,4.551810030214831,9.77485011219594,8.118473561560142,19.989719616422,46251.0000,306425000,3679000,29.62884529647794,17.8066123303288,0.0019199804227081,58.29165529993028,9.94035184407282,15.803629795965213,1.541038230926139,Buy,6,13.0286774099525,1.1541436076150873,,17.091358691180425,10.2583427750848,0.14691354058962036,,-2.454772514629157,207773.409493862,17.8415514506652,99.68589999999999,1.2618660642957493,530.7831114145969,516.0227841032694,934244000,-22.74737791979171,13.526086956521745,13.811509,1.227274,11.2617682969687,5.83868213003958,53.4864059093134,732.444444,1025458.9666666667,53.89592749931629,35829700,16457,207287000,45807000,748.89,17.05031939930518,3.409900990099015,40.09971740526636,549.4322000000001,559.706,531.6790000000002,6.840392038266705,7.5957100726404025,272.49,0.5884703837640578,564554,490.45842973389847
DKS,NYSE,Dick's Sporting Goods Inc,17929223117,200.32,Retail Trade,48.140308955733744,62.678092920949126,32.4298629931132,2.3187000729591194,28.06154409679079,19.04472163066626,13.979415115842748,6393417000,13.174914322945119,1.2871902805563586,0.9449909921646766,6.96213845318084,3.1663051517106218,20.9035655643681,46259.0000,1353226000,6741734000,-24.83420992453694,8.72596577938603,1.3899155711278801,-4.52769040129635,4.71114551891239,12.427480353242014,,Buy,5,3.01518037344304,-15.203823996005578,20.682196598353638,12.623267043215053,2.110013618011867,0.9817826397235078,0,3.527597108806003,163641.82509505702,9.985660586750088,95.5957,4.442294929652244,214.39064243749337,213.5879172377211,1353226000,-11.476424057625172,-3.100662700140278,14.329641,1.2354697,9.77000873785281,13.6403305017255,9.057557727286742,254.055556,1209372.4666666666,38.96252373605934,65931900,105200,399167000,401619000,244.38,-3.8079231692677102,-14.757446808510641,7.106710883002554,218.84180000000012,211.8685333333336,213.0307,3.5670257935290532,2.8708311023980655,186.67,0.8126840037088323,1347577,208.6850159378958
MLI,NYSE,"Mueller Industries, Inc.",15319023993.000002,69.26,Producer Manufacturing,12.780570180403148,25.45746560496515,26.7539014622398,16.432482391606463,10.873081533849529,18.052442266590212,16.629051620648262,-1380298000,13.139448936809401,2.993290476765648,3.2435161635454963,21.3323701920797,4.318019720993331,26.313960809429,46322.0000,1385055000,18970000,21.80455901962029,25.3935852898659,0.00695764921429075,62.03064685928181,18.2467925744298,11.746431943595613,0.8170425768593463,StrongBuy,6,16.3212206096356,2.2605288121672835,8246.694444444445,28.671162536010254,0.9284149681130276,0.4989808752498113,,-1.439003590477104,864765.521523179,21.851406239248973,97.85910000000001,3.012649643748418,63.65660537771343,59.53770424768332,1407788000,-1.0571428571428498,18.65684426931644,4.165,1.1178024,22.7809437911823,0.347706969510651,1.8314687838325499,77.5,1675694.6333333333,69.17235630523822,221181000,4832,686639000,666374000,70.95,5.692049443003211,22.584070796460185,2.0131589262645937,63.92059999999999,62.46476666666664,60.49970000000002,3.0997125886671744,2.4132136827439075,43.635,0.4226229760317044,1024705,64.23524088183648
