Symbol,Exchange,Description,Market capitalization,Price,Sector,"Gross profit growth %, Quarterly YoY","Revenue growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Net debt, Annual","Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months",Upcoming earnings date,"Cash and equivalents, Annual","Long term debt, Annual","Earnings per share diluted growth %, TTM YoY","Return on invested capital %, Annual","Debt to equity ratio, Quarterly",Performance % 1 year,"Net margin %, Trailing 12 months","Revenue growth %, 5 year CAGR","Price to earning to growth, Trailing 12 months",Analyst Rating,"Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual","Interest coverage, Annual","Return on capital employed %, Annual","Sloan ratio %, Annual",Buyback yield %,"Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Cash and short-term investments, Annual","Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day",Total common shares outstanding,"Number of employees, Annual","Free cash flow, Annual","Free cash flow, Trailing 12 months","High, 52 weeks","Performance %, 1 week","Performance %, 1 month","Average true range, 14, 1 day","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Volatility, 1 month","Volatility, 1 week","Low, 52 weeks","Relative volume, 1 week",Volume,"Exponential moving average, 21, 1 day",Industry,Gap
AMD,NASDAQ,"Advanced Micro Devices, Inc.",889845828283.0001,545.09,Electronic Technology,115.15812431842967,50.11060507482108,50.3667836823629,19.443401945783652,34.33779329067288,139.89221095855254,71.43666874388548,-6563000000,92.5808983063262,21.329132751071302,20.58437235201553,15.7099624742767,13.233172732609262,10.1963133132108,46329.0000,5383000000,2973000000,124.2848097622748,6.78955404287805,0.0636082351541116,242.22124560522354,15.661542186176,28.82389065515516,1.0582813368340034,Buy,8,30.7409815316532,-0.4932182490752158,28.572519083969464,5.784447054460036,2.806593349452721,-0.0023599593696495154,23.358064609255464,-1.0069039582694077,1117387.09677419,7.08153972480032,99.48010000000001,5.0650994575045205,488.86860433894145,384.6381393410098,10569000000,2.541480115880957,166.04680674524738,7.630395,2.4761596,23.0383730783198,1.01084990958409,158.803738317757,627.314286,19316084.5,62.781726102424365,1632480000,31000,6735000000,8403000000,584.73,7.0756477498183035,11.799573385839697,24.436767147369984,495.5847000000002,396.7061666666666,352.92367500000006,3.5044081810987073,4.125040660174036,154.7798,0.7943886309806506,28464470,496.1239338040112,Semiconductors,4.117073170731712
INTC,NASDAQ,Intel Corporation,575128291132,108.8,Electronic Technology,83.76623376623377,25.421883505715844,39.0482536120073,-15.089020490795225,-0.4670345191239336,,71.3775874375446,9560000000,36.05409513074247,10.719758927128629,9.043330060316991,8.02707252069014,6.267602428926367,-12.1763516246461,46317.0000,14265000000,44367000000,55.48626858150668,-0.175381553407624,0.577288615750154,333.8983050847458,-19.7941506522654,-7.4570711629607045,,Buy,6,4.62804475694446,-15.334872979214781,0.6250545613269315,0.8406888717333043,3.7284383883005647,-2.492313492662135,26.060961534823,0.7276602222560512,621069.3301997649,,86.0152,0.06739811912225706,98.86526946934103,81.33242208867111,37416000000,-17.453814346951944,131.73588924387644,1.524288,2.230863,29.732430915977,2.858934169279,-223.64126366222487,122.116279,99486013.83333333,62.01215292118632,5286110000,85100,-7975000000,344000000,142.35,6.198145436798432,9.655311429147346,5.976368764596518,97.17230000000005,88.04996666666666,76.81292500000004,4.3532004137251015,4.992857760326015,28.73,0.8716972803618006,149723179,98.1592962987396,Semiconductors,3.6120732310737313
DELL,NYSE,Dell Technologies Inc.,374112242931.00006,588.4,Electronic Technology,74.74421109316101,56.71955904459662,19.702442380461,7.519894482303803,19.12493322299852,34.15707377672513,22.734133466131993,20524000000,22.098824215349563,2.6305617933568843,2.4295803233574147,9.89190548014077,,,46357.0000,11706000000,23994000000,153.3204905738066,29.7342650336865,,359.32864949258385,7.52692439998942,5.559973295903342,0.21327494315601042,Buy,8,2.86200398450864,9.523809523809524,5.726923076923077,25.082823291594135,-3.1534466757498567,2.4329596723940257,2.648494174543856,1.7156231714452896,1172422.68041237,,92.7786,13.128834355828221,465.38451066794534,318.0598763277323,11706000000,36.87540709035079,259.8776758409786,25.881787,1.3350496,11.9036278479003,5.50920245398773,273.5855728429986,592.653846,8450364.999999998,66.43220036749506,315433000,97000,8552000000,8560000000,593.9799,12.327590321195041,26.001113538053012,33.67834438678834,460.3792000000001,318.8093333333333,270.3050500000002,5.931036765906074,6.281619521489718,110.22,1.1331513448975585,9350578,510.1923155414546,Computer Processing Hardware,1.2622272719203278
PANW,NASDAQ,"Palo Alto Networks, Inc.",306799078003,375.06,Technology Services,-0.9853012437409143,34.447817687182116,65.4790940766551,35.82752613240418,24.491677059046793,731.8243902439025,89.56083527072178,-509000000,133.57613519537725,26.680320383536586,26.733976480836215,5.41811846689895,11.118647524703164,1.73856905007305,46338.0000,2519000000,2500000000,-67.97075182801076,1.60924239803326,0.09337261748872401,84.75862068965517,2.67421602787456,21.951181689477007,,Buy,3,8.05317125846937,-22.024255128013177,,2.2983748789842813,-2.3565827486586874,0.2395704722400805,22.221254355400696,-0.24625060474117078,523698.73637151596,1.73856905007305,99.0283,5.034271725826193,343.64115900597363,268.65000664640445,3076000000,31.323529411764696,121.67976830781961,4.187768,0.9076541,19.9738675958188,0.538555691554468,-196.42458100558662,402.695652,6124630.6666666595,57.92514914998596,818000000,21921,4113000000,4113000000,398.88,13.2615621555512,1.2745045093697758,18.974131919997173,352.27380000000005,258.32906666666673,239.69920000000002,5.105596320291402,6.118919867767989,139.5706,0.9807606192963351,6294739,356.48239287120435,Packaged Software,-2.7113004126181295
CRWD,NASDAQ,"CrowdStrike Holdings, Inc.",251580780786,245.7,Technology Services,27.49090249778882,25.830401932671315,75.1194973448638,25.799848503898065,21.711245176577236,6882.352941176469,195.93676433998735,-4410048000,928.8770651529775,45.83685460379586,46.717246819720366,-1.22980386924369,49.30853657802368,0.852839856931339,46357.0000,5230125000,801845000,,-3.50038056746179,0.16076506686759198,120.85393258426964,0.700018253771906,40.64341709085417,,Buy,6,17.5258643239262,-2.2152562612961466,-4.410442168373719,-2.0354903475412214,-9.167502203544359,0.014034855877975271,28.38338696655552,-27.935388240659798,449804.169003552,,96.7195,1.460649382604941,205.48798503178105,161.05832373258872,5230125000,43.108846013833265,131.9702602230483,1.253976,1.2550087,4.93465242316506,0.472979092725586,,238.427083,10482470.433333334,65.41078415321928,1023930000,10698,1241490000,1525603000,250.32,19.42547451819086,15.352112676056334,12.872007152643347,206.2992,156.28559166666682,146.41122500000012,5.869892299612957,6.530410132999,85.68,1.507382826961529,12340901,218.7554544728909,Packaged Software,-2.2041763341067373
MRVL,NASDAQ,"Marvell Technology, Inc.",211122445061,240.76,Electronic Technology,44.0332475756976,36.54852699267235,51.4195316550797,17.040490078832402,42.08728521145076,79.27821133392604,57.2060060128559,2396000000,74.6353235528809,22.506771749150822,22.3917602615791,16.8068738558564,11.391266537941632,16.5234889667108,46352.0000,2566100000,4394400000,,14.6191098007331,0.297119514774763,249.6369445251234,27.9345629239283,22.51420266306856,,StrongBuy,7,11.7852497371916,2.1593533487297973,6.606120434353406,7.187487413573203,-5.286893153782988,-0.08762687451187277,25.32399384960828,0.9113731456827691,1095534.7593582901,17.748937024603368,99.48070000000001,1.8780937907077724,222.26718149523728,174.6785215967882,2638800000,-21.18245952891493,170.82114735658038,4.208649,2.2532532,30.1556564341873,0.518345636126791,49.41912421805183,292.656757,22433637.533333335,56.783958946732895,876900000,7480,1396400000,1730100000,329.88,5.582598780862163,9.178305822601116,14.971640496294714,215.92609999999996,181.93610000000007,157.64930000000012,5.021321158208279,4.253689895483626,70.685,0.6191357871045506,20969731,225.5704172021012,Semiconductors,4.510034391188884
FTNT,NASDAQ,"Fortinet, Inc.",126624298408.99998,172.58,Technology Services,24.948673104706867,25.63803680981595,80.2043202168079,32.73427848696982,14.167702071929883,60.810429880197326,50.02865530523191,-2520700000,47.40411372563371,16.34715817001886,16.884000185987123,32.3710710205383,81.62242180886032,117.441506299322,46324.0000,2495300000,526000000,13.261763179949714,86.24476500698,0.320353297659725,116.13024420788983,28.1730743683078,21.252104718544174,4.563874109103973,Neutral,6,8.80762200809191,3.129074315514994,103.19900497512438,37.518087107509764,-1.3292650059677338,2.200051676497183,11.993352550150009,-1.1322373444728921,450036.402144417,135.715593307216,82.80109999999999,4.212731450195973,157.39478276673407,125.98810507043096,3582500000,20.277380910896607,108.02796528447448,3.449623,1.0595709,34.4846826261392,0.377213136910393,43.855337078651694,168.176471,4296567.700000029,61.34600484515175,733714000,15109,2225800000,3117000000,176.1,11.037477883223419,10.628205128205137,7.132786174382362,160.04040000000015,124.31393333333334,113.4424000000001,4.268872123634552,4.53196045423315,73.55,0.8373838134713713,5476610,162.75732169691904,Information Technology Services,-0.9838737847121137
SNOW,NYSE,Snowflake Inc.,119383993037,338.39,Technology Services,34.33960676447153,35.094749290155455,66.000459643469,23.91816643488204,29.16256250006894,,152.7471833020367,-1288572000,,22.044322848751722,21.27296439676763,-22.3430703042902,55.48177441991631,-48.2407228868773,46358.0000,2828163000,2691516000,23.458070116217392,-25.9450511617558,1.2856962762552702,55.79650092081032,-20.0711840161836,51.23448979623488,,StrongBuy,6,7.92736895610247,-3.0110972998068073,-159.06784767413833,-25.277685509317273,-31.380241653567836,0.38269535837890994,41.82031560568802,,516991.832229581,,96.8458,3.4223336969624083,306.4798265041092,243.67222910736587,4029686000,45.387755102040806,94.8802119327344,2.21536,1.3278769,-17.6848468722992,0.171131859919773,38.2564679415073,440.536585,5037431.1,57.129656487675994,352800000,9060,1120314000,1195274000,384.56,2.6357294510160747,3.4388946628354833,16.43101672597836,309.0784000000001,225.31360000000006,222.30720000000022,4.1861139231019955,4.772919158581198,118.3,0.6831347597148972,4294078,327.20116971208114,Packaged Software,0.9002477191710526
NET,NYSE,"Cloudflare, Inc.",118909260701.00002,333.94,Technology Services,30.204958307158552,35.865559537472954,72.5502816088523,12.018891692885909,29.845666035387563,,264.69814234123976,-592288000,827.3135852716704,47.07291965729298,45.78762238541606,-7.8818635938464,73.36921893881139,-14.4261013299428,46324.0000,852900000,2156145000,-72.17134416543573,-3.36567574825705,2.17858421500969,52.03277942180742,-8.21044042430394,38.13444531017682,-7.718467328248092,Buy,3,11.174241366839,-3.0617878996531322,-38.2027150353639,-10.814601366886041,18.245067803618664,-0.044949400647943394,29.8112445149467,,420468.7742436,,99.0486,0.8886333233615741,288.8669750445505,240.32161585665347,4110615000,48.06242795069611,50.62017951377925,1.261588,1.6639376,5.68985213047545,0.899024649059927,-230.3719008264463,343.571429,3648512.433333333,62.554005545972096,322619000,5156,260562000,314873000,336.9,6.570927078346887,9.93004690971937,16.92016228023939,290.7793999999999,239.24613333333338,227.21194999999992,5.2994447819715775,5.644044792012611,158.83,0.7633049013103009,3033097,305.1420940901775,Information Technology Services,-1.2505775450485146
BE,NYSE,Bloom Energy Corporation,82691499907.00002,280.76,Electronic Technology,145.56925308194343,165.51682027305216,31.2202110402647,2.8256012616638193,37.326441660515,382.5589317345687,104.03766640801767,539719000,206.10188084525333,26.617639338612022,28.0442113679071,11.2120521015692,51.09316367792162,22.2009726368283,46324.0000,2456081000,2916969000,15514.893617021275,-3.13952392371973,1.74469199093299,280.6915254237288,7.86794725599473,20.573183434282093,0.023714296370647217,Buy,6,13.9170232085403,-22.21455678269407,1.3509872327790975,2.458331082176239,-2.4484545900680548,-0.0902160440721246,9.189404711674047,4.374870306724597,914179.765130985,,94.02199999999999,1.9400150310363065,238.28325019717315,199.8125493458688,2456081000,-5.658602150537645,67.7681505826113,2.698638,3.8109896,12.9147969098823,0.349728297008329,,287.259259,12830259.8,63.81462593991119,294527000,2214,57190000,627267000,351.28,7.691363517805346,27.175956333657965,18.872401764778203,225.25600000000003,223.6110666666666,198.00525,6.317190405004431,4.981579967650027,61.37,0.7336694909169729,14236199,246.26045107724966,Electronic Production Equipment,4.8626027701651715
