Symbol,Exchange,Description,Market capitalization,Price,Sector,"Gross profit growth %, Quarterly YoY","Revenue growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Net debt, Annual","Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months",Upcoming earnings date,"Cash and equivalents, Annual","Long term debt, Annual","Earnings per share diluted growth %, TTM YoY","Return on invested capital %, Annual","Debt to equity ratio, Quarterly",Performance % 1 year,"Net margin %, Trailing 12 months","Revenue growth %, 5 year CAGR","Price to earning to growth, Trailing 12 months",Analyst Rating,"Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual","Interest coverage, Annual","Return on capital employed %, Annual","Sloan ratio %, Annual",Buyback yield %,"Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Cash and short-term investments, Annual","Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day",Total common shares outstanding,"Number of employees, Annual","Free cash flow, Annual","Free cash flow, Trailing 12 months","High, 52 weeks","Performance %, 1 week","Performance %, 1 month","Average true range, 14, 1 day","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Volatility, 1 month","Volatility, 1 week","Low, 52 weeks","Relative volume, 1 week",Volume,"Exponential moving average, 21, 1 day",Industry,Gap
DELL,NYSE,Dell Technologies Inc.,291869091923,450.22,Electronic Technology,59.411404046597184,87.48824082784571,19.0922979468644,7.519894482303803,19.12493322299852,35.77689306346898,24.41935686653798,20524000000,21.444817314295534,2.3253127542050156,2.1118032566978404,8.5710027201252,,,46268.0000,11706000000,23994000000,100.63934948979589,29.7342650336865,,261.3757675482603,6.26672131758393,5.559973295903342,0.3410857728197416,Buy,8,2.23601736922393,9.523809523809524,5.726923076923077,25.082823291594135,-3.1534466757498567,2.135203819952305,2.648494174543856,1.7156231714452896,1172422.68041237,,92.70349999999999,14.393292682926829,351.445025261276,224.27921279057247,11706000000,145.71974348478648,275.2458743123854,18.437013,1.299666,10.8432388120878,4.61585365853659,281.26000290993744,503.619048,11117099.6,64.2384787525146,325047000,97000,8552000000,9442000000,469.47,8.205152855220161,11.739303087461533,30.755756335642275,340.14119999999997,209.06786666666656,192.72560000000004,7.2197308000022,7.9193434235728,110.22,0.731855791252015,7927964,406.8915666904954,Computer Processing Hardware,2.745561034331078
FTNT,NASDAQ,"Fortinet, Inc.",119956515548,163.73,Technology Services,19.132039146478423,20.12729752549198,80.3038188339546,32.73427848696982,14.167702071929883,63.26018082064755,51.974296324912835,-2520700000,49.61396440586093,16.479135740628735,16.373048456290885,31.0204655742317,121.42809466244427,132.391790286527,46232.0000,2495300000,526000000,6.532208273307267,86.24476500698,0.501970294028493,50.694891854578906,27.4913847668612,21.252104718544174,9.269127464099942,Neutral,5,5.47687766201198,3.129074315514994,103.19900497512438,37.518087107509764,-1.3292650059677338,2.55984427854715,11.993352550150009,-1.1322373444728921,450036.402144417,135.715593307216,82.77319999999999,3.278809908454497,135.00799130274112,104.3551981459873,3582500000,103.34078489816196,109.5073576455534,3.150211,1.0894403,33.214712708348,0.496634356488961,28.983688833124233,114.852941,6703754.866666694,68.25528309008733,732648000,15109,2225800000,2435500000,164.01,3.2085224407463464,14.392510305316842,6.440644386645128,132.83740000000012,98.45580000000002,94.73167500000005,4.058221498871639,5.6223933968157,70.12,0.6568572246805502,4626520,150.87149542282182,Information Technology Services,-2.195137515155381
HPE,NYSE,Hewlett Packard Enterprise Company,65031634262,49.11,Electronic Technology,70.95078834209268,40.64312071692145,31.3768823559644,1.8264441143056893,14.171211919648796,46.186400827612154,14.386048784260238,18218000000,14.187917705325859,2.0811182161175927,1.6438155933597158,6.15459731716092,2.569468788095998,6.33047865090828,46266.0000,4862000000,19152000000,9.856390122946578,0.136577651583223,0.840028467499605,133.63463368220744,3.99856092922856,4.963865620043362,4.262282723714657,Buy,5,1.0056930928705,-1.621434532654939,2.8043478260869565,3.473775789212031,13.606302532079152,0.6335378230541322,7.334906347403071,4.127322156773901,512373.13432835793,,99.6166,2.785614525139665,41.119970024105825,30.1184450615987,5859000000,96.36145541783286,122.21719457013575,3.413724,1.4382882,14.6682427917973,1.65432960893855,,68.588235,36279077.70000002,60.87460617239413,1324200000,67000,627000000,3989000000,64.25,12.89655172413793,-1.4548008427811807,2.841574667535935,40.72039999999999,29.068666666666687,27.676200000000005,5.3612431130920255,5.587174775963941,19.635,0.5785577796714135,26431193,45.14149570661871,Computer Processing Hardware,2.718826953212449
FROG,NASDAQ,JFrog Ltd.,11566934032,95.5,Technology Services,31.767032967032964,25.79100868414388,77.010525194796,26.750338447653426,24.120162058214014,,100.1257075637371,-692669000,,19.242516164072345,19.7766487792194,-15.329333877638,12.522241730403348,-7.14405864385505,46239.0000,76551000,6676000,25.920699873006907,-8.58139202822746,0.017799822077537,128.5782671134514,-10.9304059210877,28.664987154156552,,StrongBuy,6,7.76942189729507,-6.084469717844962,,-9.579177275137637,-4.866640772877424,-0.19569576464582022,36.76086793020457,,295466.666666667,,87.89009999999999,1.2600784009945474,76.96707169770501,59.49717340270957,705125000,115.23551949515439,58.76974231088944,0.953801,1.2016243,-11.1849274950746,0.032315464177147,57.8172900061312,86.714286,3292969.8333333335,65.81800806521224,121120000,1800,142269000,151410000,99.22,4.132591865663511,12.697663441114003,5.095780005772303,75.3932,59.817599999999985,57.88920000000001,5.944843190983378,6.557039143109028,34.05,0.6031044338612005,1955037,86.88500324569809,Packaged Software,-0.8411517308314473
HNGE,NYSE,"Hinge Health, Inc.",6958021036,89.92,Technology Services,53.87447247912365,47.22955784373107,80.7965442443784,28.13203824039737,50.577350641899166,,34.680038845346,-355823000,,10.596552654786475,11.281750218924344,-80.9207818770867,62.23871092776655,-136.56990706067,46238.0000,207995000,3816000,-478.2563749138525,-105.191786802131,0.022368083194248302,106.71264367816092,-79.2766058835724,,,StrongBuy,,1.00291228935804,-125.79687437435709,,-133.55896805441893,-64.54636073023879,-1.3728472435736394,62.62324362943558,,4110909.0909090904,,59.653200000000005,2.460883074010243,66.23034599752857,53.037922221381706,363862000,150.61315496098103,78.55440826052423,2.592846,1.1116048,-80.1467334630892,0.082979343156055,-73.45337620578778,82.733333,2255242.7333333334,85.35956633611492,54655926,143,165377000,202762000,91.07,5.788235294117649,41.65091367359799,3.781933806119667,63.139399999999995,49.59670000000003,49.39587499999999,5.26664202554958,4.574511575946829,30.08,0.6965519584732139,1292348,77.1780023034709,Packaged Software,0.8248587570621514
MRX,NASDAQ,Marex Group plc,5056020922.000001,70.29,Technology Services,48.31349206386476,54.025643987911835,74.2013422818658,18.028541517418066,25.39035511929022,16.245262087454932,13.322466618019163,-3304000000.00599,0.49393528358792566,0.15959021889877287,1.249626812501785,31.3361805979186,3.973570583027783,28.985386221108,46253.0000,12797600000.0233,2414700000.00439,,9.90446732069291,7.68282918149465,82.05128205128207,8.47101891397147,,,StrongBuy,,0.406783443928897,-2.059197262074634,1.519922128486231,,-0.2768557264432901,,,-2.736911862165333,1167513.6699917,23.50769303702397,83.0441,,58.68651096489828,46.889180115414064,13539000000.0246,40.24341580207504,83.66866997648289,5.27605,-0.0909456,32.3099450882545,,38.656195462478166,68.285714,1026799.7333333333,66.77382221250535,71930870,3109,654400000,,71.18,7.3621506033297806,19.785276073619645,3.372531183181252,58.260200000000026,46.85706666666664,43.16469999999997,5.264736208081159,4.41923852093633,27.91,0.8051024787824154,904897,63.38450629440885,Internet Software/Services,2.337005061030058
RELY,NASDAQ,"Remitly Global, Inc.",4960818954.000001,23.56,Commercial Services,29.487143247496018,25.213481406101362,59.2007298741546,17.323335455466697,29.36668241079842,48.30838630305515,36.760460972435894,-351187000,27.25432088509658,2.5200132964534494,2.9043169257816457,7.74964157965621,5.460909069837516,12.9539473522855,46239.0000,543309000,183135000,,7.8695927176177,0.04330754650445211,27.696476964769644,6.11901003576963,44.790346613440725,,StrongBuy,,5.98168380284476,-5.031995322343979,10.726090383604834,,-12.834258692422704,1.0076360468606609,,-3.2919357711307544,510983.43749999994,8.85547430031416,84.0907,1.105643288542702,21.02809527808047,18.460096802351508,543309000,38.7514723203769,72.47437774524157,0.640906,0.3447993,9.24628908229911,0.157080896417469,334.61538461538464,28.55,4262909.033333333,63.0214366826177,210561080,3200,283262000,239977000,24.92,2.747492368076751,29.02519167579407,0.9248423239085247,21.576000000000004,17.413766666666675,16.80087499999999,4.175732850709857,3.4434344790419185,12.08,0.37001443309785625,1951515,22.104996340202327,Miscellaneous Commercial Services,1.2121212121212015
WT,NYSE,"WisdomTree, Inc.",3037413694,19.86,Miscellaneous,51.38865571411441,47.54538220980366,78.1830755712742,29.920020739114495,15.433782908656488,48.844072798819475,17.269565217391307,644855000,16.969914056338027,6.63056290757804,4.733992673455128,37.7900396411204,6.373310398829314,13.6195066743465,46227.0000,311732000,805369000,20.724465558194783,10.171521073561,2.5318682660446603,60.67961165048544,11.1257454493425,14.589421642793399,2.219171633660644,Buy,,2.25558579636953,3.6885189798907683,5.88060486522025,,18.038588157072834,3.7854902750695243,,3.500974521290168,1371536.1111111098,22.367238025591277,87.16970000000002,1.1544581718053695,17.91097155930969,15.630843114122925,311732000,24.905660377358483,51.25666412795125,1.15,1.1794895,39.072460152511,0.0259628274337886,-199.82132221560454,20.642857,3304839.2333333334,66.33885158130326,152941000,360,147731000,159321000,19.99,11.073825503355708,11.322869955156948,0.781692365549589,18.303399999999982,16.014399999999988,15.12145,4.1086532967652545,4.130628114100231,10.69,0.7896672167220813,4160272,18.195185903915817,Investment Trusts/Mutual Funds,0.8021390374331664
LINC,NASDAQ,Lincoln Educational Services Corporation,1734489412,54.68,Commercial Services,22.066564902920238,22.510339897537147,60.2760826301837,-5.295412751982186,17.764916012216407,76.50762557716524,69.656050955414,175345000,33.27827295680144,3.5329129342821264,3.114258750156049,6.08160207970743,8.71711155607137,11.9004375902795,46244.0000,28519000,192767000,84.62929475587704,5.41376831897865,1.03883758826725,140.77498899163365,4.11406813391788,12.073948208292084,0.8951045145952099,StrongBuy,6,4.28834330926465,-0.5122106727216814,8.81143193871538,8.09584203551981,9.531717643623622,0,,3.455959161952815,200093.05019304997,10.5822961645923,93.0839,-0.2926405700047214,47.65836973667967,36.20404191054615,28519000,36.32510595861381,121.37651821862349,0.785,0.7930137,10.6162748856234,2.59728479723462,122.0447284345048,58.166667,521975.2,65.54016269601655,31720700,2590,-27443000,-9169000,56.34,3.816214163660524,17.31388114138597,2.4342255495230316,47.943599999999996,36.9199666666667,33.012825,4.9720984499810275,5.007110259918852,17.29,0.8643740555596726,409573,50.65338118854677,Miscellaneous Commercial Services,0.5725895825637279
OOMA,NYSE,"Ooma, Inc.",548075008,19.93,Communications,26.0165634559427,24.78894031893463,61.3350039002906,8.076695345794256,6.521265164374827,60.72516758074345,15.213740458015266,53015000,21.574995784543326,2.0668572217505057,1.9018414542216309,3.92238076500922,5.718056491988122,10.0025055285031,46266.0000,20144000,62502000,,5.10734195231882,0.7081577739768891,50.75642965204235,3.16924500037967,10.121915399047099,,StrongBuy,6,2.61235391622596,-0.6819356432408799,,6.101561112317197,21.293679709234105,1.9349541294902468,18.36938326474222,2.403872313412533,192677.464788732,7.24940233677902,87.2006,0.8736508912676906,17.849578606322765,14.93900518264469,20144000,43.691420331651045,73.75762859633826,1.31,1.2042953,9.57987311974928,0.207842643188989,,23,380625.8,62.380012127313655,27500000,1420,22098000,24548000,21.96,2.9442148760330595,19.26989826451226,0.7914878300381785,18.228599999999993,14.594533333333354,13.824850000000003,4.145379192332139,3.7814641547452563,9.7925,0.6373651360991546,227969,18.768614067032484,Major Telecommunications,-0.05099439061702198
