Symbol,Exchange,Description,Market capitalization,Price,Sector,"Gross profit growth %, Quarterly YoY","Revenue growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Net debt, Annual","Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months",Upcoming earnings date,"Cash and equivalents, Annual","Long term debt, Annual","Earnings per share diluted growth %, TTM YoY","Return on invested capital %, Annual","Debt to equity ratio, Quarterly",Performance % 1 year,"Net margin %, Trailing 12 months","Revenue growth %, 5 year CAGR","Price to earning to growth, Trailing 12 months",Analyst Rating,"Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual","Interest coverage, Annual","Return on capital employed %, Annual","Sloan ratio %, Annual",Buyback yield %,"Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Cash and short-term investments, Annual","Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day",Total common shares outstanding,"Number of employees, Annual","Free cash flow, Annual","Free cash flow, Trailing 12 months","High, 52 weeks","Performance %, 1 week","Performance %, 1 month","Average true range, 14, 1 day","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Volatility, 1 month","Volatility, 1 week","Low, 52 weeks","Relative volume, 1 week",Volume,"Exponential moving average, 21, 1 day",Industry,Gap
AMPX,NYSE,"Amprius Technologies, Inc.",1584808031.9180884,11.19,Producer Manufacturing,592.5373134328357,125.87110904626005,22.2516204636174,-48.66937858678829,202.11031571978316,,,-50793000,,13.883510014996965,15.394027828395647,-17.0496575969532,13.010871460961571,-36.0699985169806,46331.0000,90665000,35207000,17.923399162178338,-36.2431412259145,0.050757744595498096,34.4951923076923,-33.4007763577105,73.23955134544147,,StrongBuy,5,50.694904765823,-15.0531331632903,,-19.858646480363223,-5.411400271526092,-4.870116660538807,12.915861993398256,,669825.688073394,,92.9275,-0.40732788149137555,12.753379036433682,13.135903426048346,90665000,-33.865248226950364,-0.7538802660753956,-0.074444,2.3465104,-13.4635807668363,0.0388236674122925,57.93499043977056,23.7,6811169,49.47540036219578,141627170,109,-35534000,-58439000,24.225,25.16778523489933,-10.836653386454191,1.041377195259878,13.834600000000005,14.626299999999999,13.759125000000004,7.941246910032769,8.423383396833259,6.3625,1.0053234303451102,9407720,10.849073507421508,Electrical Products,-5.546075085324235
NAT,NYSE,Nordic American Tankers Limited,1355204224.2088091,6.4,Transportation,481.2225475841867,64.31856768019755,29.1267076134718,-39.29719908121636,-16.5985211956242,24.951267056530217,9.320383825056396,378281000,13.57065122461793,5.056925111073624,3.8852518593381564,19.757132765825,2.9723202675088243,11.3573612817229,46265.0000,45863000,388740000,49.73730297723292,1.54234052153759,0.9110696340096639,119.93127147766323,16.2583958909522,-3.8317068657292452,0.480497213299289,Buy,7,2.45688433506321,0,0.8109756097560975,3.641213503409006,8.883750626271942,0,,4.361643740847929,16204999.999999998,-13.39024441887368,94.453,-0.333066253492675,6.031078082842998,5.082429359656766,45863000,8.47457627118644,53.11004784688997,0.686667,-0.53979695,37.2636878464615,0.57113870760348,993,6.275,3733838.6333333333,55.19098398861713,211751000,18,-114626000,-70527000,6.73,-0.7751937984496097,9.215017064846416,0.2667396616513031,5.895999999999994,5.364066666666667,4.922699999999999,4.34380908027712,3.9620118289020114,2.78,0.555353729119677,2850795,6.272410451243151,Marine Shipping,2.2838499184339263
DHT,NYSE,"DHT Holdings, Inc.",2955114255.422496,18.35,Transportation,343.19065321295807,122.6017975771786,59.4712442500962,-6.695937425205703,-12.439881303547686,6.242558258207179,5.351890442281976,355340000,6.261924746622989,4.470192243303658,3.9904132187552745,56.6595032304697,2.2252566017966977,39.1763532556201,46330.0000,79034000,393880000,148.6465911013365,14.5638241870753,0.32702160368475,56.83760683760686,65.5970899463573,-6.372120341597887,0.040897440944399815,Buy,6,,-0.5102432566879093,11.987790246312372,11.693158791313378,6.674822467838966,0,,1.286415060186442,674622.795115332,8.490729136723289,88.59089999999998,0.2248089241962216,17.92450819391136,16.230281600462803,79034000,-3.8259958071278666,29.407616361071945,3.428695,-0.13035896,71.3868726339198,2.57885364935314,252.40687679083095,21.077778,3252674.3,53.260335459330676,161042000,737,-33292000,36254000,20.55,-0.3259098316132467,7.9411764705882435,0.698560204332564,17.688000000000002,17.049333333333312,15.997900000000014,3.8891348955234086,3.6793205792262533,10.695,0.9129865857066466,3689636,18.14951759234505,Marine Shipping,3.4135422495802987
LPG,NYSE,Dorian LPG Ltd.,1898695327.0601625,44.38,Transportation,293.5735939483207,123.10944266519084,60.4981674109806,23.680255008459387,36.27362613949119,5.888831389408597,5.615989092984861,381709114,5.86747186852809,3.764271415982848,3.143614454157676,52.0196533903233,1.535516340724087,28.34202271141,46330.0000,327409120,562291975,555.6725247955454,11.4915219547571,0.522626703958592,43.85737439222042,55.0030051738041,8.792934207829406,0.010280069574035286,Buy,6,2.85664537597507,-0.08178447879792321,7.093482947294659,12.299958230573932,4.255123679043519,0.2733160990096841,,1.367045366557461,799852.561461794,17.7260268034384,85.9167,3.423209468806784,41.81261264114973,36.02150976702608,327409120,10.950000000000006,49.78062774215324,7.902437,0.76731825,64.1549120358569,2.12884123957963,1263.716814159292,51.75,697903.8333333334,54.563425913946894,42782700,602,114023090,146279050,48.12,-1.9226519337016519,17.781316348195336,2.0135495191924773,41.54499999999999,36.652666666666676,33.97385,4.565275616536605,4.725179238830591,23.76,0.8764381622472326,550300,43.50919537101202,Marine Shipping,2.1138211382113905
SBLK,NASDAQ,Star Bulk Carriers Corp.,3254898278.5150213,28.59,Transportation,283.2712186195913,44.46258811327664,35.3551315247768,20.3307629069843,-17.618838396096113,11.184570847351537,6.876169778620524,727450000.0077491,7.501512812416412,3.098747950752702,2.5934447032085974,27.8357114059856,1.2944570615145554,11.6807591106145,46344.0000,500319000.00533,971794000.010352,141.81250591240186,2.36883885274581,0.412243485730648,47.904811174340416,23.8697262271913,8.539234992059242,0.07713079455528726,StrongBuy,9,,3.5752792618271,1.890905424460065,3.9575007941555267,-8.223005031030711,2.3315283069153363,,2.354725311744167,3545914.96602517,2.009667859151901,74.3746,2.5974041220636717,26.763365099783794,23.914603656186046,501836000.005346,5.9281215264912985,30.428832116788307,4.157838,0.7404865,41.308307114049,1.52265289637178,432900,34.442857,1258453.6,58.94566314197101,113847000,294,211948000,289832300,29.5,3.2502708559046534,9.122137404580155,0.9728915806494329,26.763600000000018,24.742466666666648,23.273275000000016,3.4293285475306674,3.2600404534489065,16.72,0.8662967778309764,1568314,27.48087316774728,Marine Shipping,5.507868383404861
FRO,NYSE,Frontline Plc,8806961981.303135,39.56,Transportation,272.5331175673642,66.93123548026718,41.4713877094178,34.26837951699994,-4.174288812160925,9.732336154300334,4.926023725104964,2814331000,9.19204292225266,4.870531819648913,3.7544153602652495,38.6316112068506,3.0996794542809036,35.0025393757971,46265.0000,251347000,2747225000,159.99744147371118,6.96600041033655,0.926032152068387,94.30255402750493,40.1919626201432,10.274129401150311,0.05838326482849587,Buy,9,2.90476797995487,0,2.5081786515450957,10.704207753070426,-5.706974053062528,0,,3.0893207038080677,22999388.2352941,7.09160315327278,64.3042,2.658859574857103,37.76478894107127,32.54077443179052,253414000,2.566761731916002,41.84295446396558,8.030818,0.03340478,52.9863911738057,1.50526750194137,1579.9331103678928,40.787948,2313860.1666666665,55.793798118176774,222623000,85,669929000,591923000,43.1,1.670521716782333,8.532235939643344,1.4725933058464578,37.57259999999999,34.34733333333331,31.653599999999983,3.7757978562876255,3.4581832616337045,18.26,0.6196674570710147,1844858,38.509239901170815,Marine Shipping,2.291282591519633
VELO,NASDAQ,"Velo3D, Inc.",393969238.69285154,13.22,Producer Manufacturing,241.60688665710185,48.24034334763949,-11.3336899879134,-65.34705153024602,12.121064312367388,,,-512999.999999998,,7.831525068712508,6.311164426677767,-101.989339990885,6.724621167805241,-129.056407097676,46245.0000,39013000,31825000,94.27975501126417,-120.829664747714,0.346216530849825,120.70116861435726,-107.93952723454,19.361484657193316,,StrongBuy,5,-4.83071214577774,-89.37836714281633,-12.584784601283227,-89.50018740935091,-39.22238675627444,-11.622734849026893,23.172296782894307,,343082.089552239,,46.259100000000004,-1.4632071016961108,14.24301164284684,15.15237583666976,40742000,6.441223832528186,4.258675078864361,-0.91,2.561296,-95.3753789454913,0.146076915590923,85.01954903326013,22.5,2322134.5,51.503458068765724,29801000,134,-30042000,-36611000,31.75,46.725860155382925,-10.068027210884345,1.7136796427965708,16.678799999999995,14.894366666666665,12.983374999999993,11.960628461821752,12.565916332766456,2.81,0.48500199776846464,1556527,12.20614940741259,Industrial Machinery,-2.749410840534168
ASC,NYSE,Ardmore Shipping Corporation,695298875.2299268,17.02,Transportation,235.40245154451273,61.30527718485449,35.2676995595766,-12.595221746042922,-23.55612838287174,6.593832326049899,5.875718541344241,82025000.00087391,4.588288660993067,1.8522041978932422,1.8286248702245793,28.4835698343089,0.9932584479490555,16.2340059923179,46337.0000,46845000.000498995,128272000.00136699,150.52897214403572,5.39843665750759,0.049970143624878095,53.74887082204154,29.6668893197105,7.107588617972493,0.042311659650599846,StrongBuy,7,7.53919735260292,-0.6827323234270597,7.71973167530826,6.563011616002718,9.908409025213116,4.449854710298775,,0.9472802864172988,311130.391176923,4.036735591889778,84.48870000000001,0.369277238696283,16.44031350107443,15.039903883740338,46845000.000498995,-9.660297239915076,36.37820512820512,2.896667,0.017735688,40.3680835000552,2.74360215677223,570.5855651384477,21,665795.8333333334,55.429522414074334,40851900,997,-39070000,15127270,20.025,1.4907573047107932,13.164893617021281,0.7349629024966957,16.266199999999998,15.468466666666673,14.609500000000004,4.401424024591439,3.96732307186231,10.17,0.9033291825534043,558415,16.542880552574495,Marine Shipping,2.4330900243308915
INSW,NYSE,"International Seaways, Inc.",4614332657.479771,93.21,Transportation,232.9005507172131,77.4736359968156,50.9550591444554,4.521630447929685,-11.38183274083057,8.481269506191936,6.5098132938614635,409293000,7.792051490671879,4.919510218838312,4.576525170359983,46.4462585144472,2.1028964064634117,26.8679469295055,46244.0000,116922000,547245000,69.79683275395905,12.1981099814264,0.27805129256815997,116.26450116009278,55.3935318616905,14.869998957623732,0.11825453567933923,StrongBuy,7,4.64967087158718,-0.42610490799593936,7.005418876897751,12.073936601281563,2.642580008858439,0,,0.8708824937496675,305212.45023525204,8.458766191865337,83.763,2.4463511983952806,86.93519164907431,72.07082783992416,166922000,2.3948148961880618,58.952933151432454,14.318383,-0.09753814,63.1349808805501,6.62872267740808,475.1673828320176,97.444444,562902.2666666667,57.0992250713111,49504700,2763,38131000,121620000,98.2327,-0.6078055022392913,9.017543859649114,3.5810775205868275,85.43619999999999,75.31999999999995,69.15404999999998,4.221196966974624,3.5768526447081816,41.2,0.6888600969024476,428455,90.75442508589461,Marine Shipping,1.9843457171205066
KMT,NYSE,Kennametal Inc.,2579711814.6443214,33.85,Producer Manufacturing,203.77441775734985,42.63081665530702,45.4104429163177,-3.43332068852267,19.821236548889214,7.690210600449826,7.828787086132385,621659000,4.433216590175393,1.3769111759946846,1.1295696945472007,20.4197567953128,,23.9951111193651,46328.0000,95791000,685280000,268.00434746258674,16.4242957868937,0.457019933190814,62.42802303262957,14.5283358325929,5.0580232471955755,0.028957134497329538,Sell,,,,16.85658765449389,20.859752425270475,13.178045844829247,0.39174918464267944,,0.9952977604723693,,19.652104581923457,98.89329999999998,-1.038291265125948,34.78558649663903,33.14090092036423,95791000,-19.4047619047619,-13.205128205128203,4.323786,1.3549184,31.0589647040053,0.986859833951417,936.6939793373708,34.714286,1161642.3666666667,46.484808270225265,76210100,,-80913000,-80913000,43.81,-1.7131242740998733,-0.059049306170640754,1.7562466075536503,34.34000000000004,36.00173333333335,33.62910000000005,4.614196889783389,7.5600591211780355,19.795,1.8283591469520957,2233325,34.48755302713409,Industrial Machinery,-1.9320843091334798
