Symbol,Exchange,Description,Market capitalization,Sector,"Gross profit growth %, Quarterly YoY",gross_profit_yoy_growth_fy,"Gross margin %, Trailing 12 months","Revenue growth %, Quarterly YoY","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months","Enterprise value to EBITDA ratio, Trailing 12 months",Upcoming earnings date,"Return on capital employed %, Annual","Free cash flow, Annual",net_debt_fq,"Piotroski F-score, Annual","Altman Z-score, Annual",sloan_ratio_ttm,"Shares buyback ratio %, Annual",Buyback yield %,research_and_dev_ratio_ttm,"Interest coverage, Annual",net_debt_to_ebitda_fq,"Cash and short-term investments, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Earnings per share diluted growth %, TTM YoY",free_cash_flow_per_employee_fy,"Price to earning to growth, Trailing 12 months","Net margin %, Trailing 12 months",Performance % 1 year,Analyst Rating,debt_to_equity_fy,Total common shares outstanding,"Free cash flow, Trailing 12 months","Number of employees, Annual",ebitda_per_employee_fy,"Revenue growth %, 5 year CAGR","Return on invested capital %, Annual","Net debt, Annual","Cash and equivalents, Annual","Long term debt, Annual","Debt to equity ratio, Quarterly","Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Sloan ratio %, Annual","Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Gross margin %, Annual",return_on_capital_employed_fq,Price,"Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day"
TPL,NYSE,Texas Pacific Land Corporation,27215239878.000004,Miscellaneous,20.571838349256286,7.50027185175963,85.5398826018295,20.83599087675972,60.300555005700396,13.086425350264868,54.07809437660184,44.97483679709221,32.15861133816037,33.127075164530254,74.4216203331248,17.49106097157686,36.4655313168511,39.15802876419888,46239.0000,,481313000,-233361000,,69.1623131732505,31.35784973961619,-0.03301147599110525,0.030424130145894127,,858.204347826087,-0.3386701419778797,145404000,7001666.66666667,25.786949370019542,99.51190000000001,9.453803573303722,4222043.859649123,5.838981177093141,60.0251482375376,14.59076890494425,Neutral,0.011087067235951301,68974400,488213000,114,5742929.824561403,21.410935617420755,36.9153374233129,-129229000.00000001,145404000,16175000,0.010182872670388301,,103.680558429517,32.72457497343011,,-0.1973883982440652,7.074531376942761,400.6081984350632,391.95486635875125,85.4594770668638,,394.57,-11.72733170764447,28.52442996742671,8.773128,0.59376705,82.1252048508686,0.839197923105051,18.4600423316744,442.333333,476053.79999999993,49.921819970092905
RELY,NASDAQ,"Remitly Global, Inc.",4863961050,Commercial Services,29.487143247496018,31.355979775105524,59.2007298741546,25.213481406101362,17.323335455466697,29.36668241079842,47.36518351445561,36.042727014570005,2.463906883118764,3.0338167713900908,7.74964157965621,5.354286906334747,12.9539473522855,26.647521629359545,46239.0000,,283262000,-610457000,,4.5732776705061,-7.336646502374472,-5.031995322343979,1.027701486219755,,10.726090383604834,-3.8244153338219906,543309000,510983.43749999994,8.85547430031416,84.0907,,88519.375,,6.11901003576963,24.86486486486487,StrongBuy,0.22113769856662602,210561080,239977000,3200,33337.8125,44.790346613440725,7.8695927176177,-351187000,543309000,183135000,0.04330754650445211,,5.98168380284476,-12.834258692422704,,-3.2919357711307544,1.105643288542702,20.924752228206206,18.408841493832426,58.6740519353917,,23.1,38.655462184873954,69.1068814055637,0.640906,0.3447993,9.24628908229911,0.157080896417469,334.61538461538464,28.25,4364284.866666666,60.48629198382636
CSWC,NASDAQ,Capital Southwest Corporation,1460928529,Miscellaneous,97.8036958497425,57.35225364633062,97.1651046008091,92.29700854700855,44.76589342712505,55.921511443606164,12.392599230404302,10.277519249037276,10.440598243438307,6.610531923513376,76.8731575416269,1.408685314919961,11.7939961733852,13.098548839463348,46244.0000,,110095000,1106780000,,1.03556527988848,14.011268964669602,-14.484936687148423,-10.802650291731005,,2.837969287118903,5.64597255522114,29445000,6831527.77777778,-6.219072676992292,96.85679999999999,33.48578665916127,3058194.444444444,0.3700853546175793,45.4290767885823,3.3861037818821598,Buy,1.12387140551063,62140700,110095000,36,5445250,32.80753863806953,5.77347606862947,1106780000,29445000,1072299000,1.12387140551063,,1.03556679330145,14.013699597615592,,5.646001356942085,1.592074838528808,23.348260740952565,22.77959351484846,97.1651046008091,,23.51,2.663755458515297,2.618943692710613,2.287517,0.7387872,79.7080529408177,0.0041358227332689,32.39267487241069,24.9,662912.3666666667,51.32441557424391
FN,NYSE,Fabrinet,17200782880,Electronic Technology,34.95087994796436,12.909913047294125,11.9532911562477,39.285890440390844,6.062216336651803,18.604444657188267,41.27752508533744,34.77429053768716,3.839425747433325,4.015652529904232,9.77485011219594,7.463206316682964,19.989719616422,34.09256562725397,46258.0000,17.091358691180425,207287000,-940811000,4,,9.037083647634132,1.1541436076150873,0.15981249337371323,,,-1.9726147743093414,934244000,207773.409493862,17.8415514506652,99.5922,29.62884529647794,12595.673573555327,1.359519406482266,9.94035184407282,66.07970663530062,Buy,0.0027606049413365103,35829700,45807000,16457,22990.459986631828,15.803629795965213,17.8066123303288,-928773000,306425000,3679000,0.0019199804227081,6,13.0286774099525,10.2583427750848,,-2.454772514629157,1.2618660642957493,594.5248180055007,524.1975588971435,12.042165022532,19.264503756544123,480.07,-21.690264909304446,9.049814869500027,13.805314,1.1978744,11.2617682969687,5.83868213003958,53.4864059093134,749.111111,1140547.2666666666,35.00829734709302
ECVT,NYSE,Ecovyst Inc.,1309063668,Process Industries,101.88590287600188,-3.4895133794813518,21.4589687168578,50.20159458874005,9.660476976980435,20.929474590294088,,18.009173234393305,1.931469095799665,1.5954561709180157,11.7812462243116,2.2758324104414283,3.34477093013489,9.174772129370366,46233.0000,5.547935563872704,69895000,273557000,8,,-52.69982681128206,4.0586167207061665,6.362333783752984,,2.8356050471817493,1.5858652614248363,197193000,1172633.71150729,,97.72989999999999,-464.0079760717846,113282.00972447325,-0.04499230809492581,2.59999243336787,36.6857142857143,Buy,0.713810817976932,109453000,86693000,617,254500.81037277143,7.8467800952415345,0.483088447133391,233549000,197193000,421247000,0.7582064900857991,7,2.06535438918725,-47.42414221342482,1.6806838835407696,1.4873174676966383,0.783177103234293,12.853275403085696,11.518488779638783,20.6574846409542,6.891389617941,11.96,-8.841463414634134,14.231136580706783,0.664106,1.0687006,21.0519571338086,0.544690808512896,,15.75,1944638.6,34.66160688780974
FROG,NASDAQ,JFrog Ltd.,11231432792,Technology Services,31.767032967032964,23.876483543374526,77.010525194796,25.79100868414388,26.750338447653426,24.120162058214014,,97.22153782602452,18.647032874815853,20.516700232512736,-15.329333877638,12.159031158746622,-7.14405864385505,,46239.0000,-9.579177275137637,142269000,-725508000,6,,-4.173511951576163,-6.084469717844962,-0.201541516734386,36.570348414121156,,,705125000,295466.666666667,,87.89009999999999,25.920699873006907,79038.33333333333,,-10.9304059210877,118.96103896103895,StrongBuy,0.0140357677697936,121120000,151410000,1800,-32852.77777777778,28.664987154156552,-8.58139202822746,-692669000,76551000,6676000,0.017799822077537,6,7.76942189729507,-4.866640772877424,36.76086793020457,,1.2600784009945474,76.2106256445501,59.13533594947047,76.1463974127557,-9.542719156207374,92.73,100.4972972972973,54.164588528678316,0.953801,1.2016243,-11.1849274950746,0.032315464177147,57.8172900061312,85.52381,3312914.4,63.06568871404378
DIOD,NASDAQ,Diodes Incorporated,4262292694.9999995,Electronic Technology,26.27490644280368,4.970872489943081,29.9716412277786,22.087060729330076,9.253997610104225,13.038699737628898,50.29547302792084,35.36340983016643,2.5840104967960564,2.7162037562675687,3.52263397767944,2.2556579277853923,4.6354762771824,20.316017787460318,46240.0000,1.7854915333989307,137151000,-304516000,7,,0.19777974222973943,0.9865389146556727,0.7933289058179052,10.554207944185102,13.122478386167147,-1.5392345174791242,382163000,185514.207034673,3.60105351272995,97.6506,234.9981837994915,17167.480285392416,0.21125648467355346,5.49939019960435,67.42465258978524,Buy,0.05090664940121101,45944700,128741000.00000001,7989,22552.885217173614,3.812189024615975,3.50425826639325,-286554000,372346000,53194000,0.0555084508041152,6,5.57245475548977,-0.6163963890363957,10.942443455889151,-1.5904204245872067,2.7903463522476053,101.7252872618188,79.35191694608372,29.702248134876,2.6820689504946524,92.77,17.668696093353617,68.91842680262198,2.623333,1.8857133,12.7190797125162,2.04477870735619,,129.5,721964.9333333333,39.68749926767627
NVT,NYSE,nVent Electric plc,25027857344,Electronic Technology,42.04654128147912,21.503597717310395,37.0104951685237,53.46595823551217,9.55279854100845,29.50666977146469,52.04465967177832,33.764435681651726,6.134184970178927,5.807369735077901,16.2027833001988,6.592351492118016,13.0021854679869,28.69917515033528,46233.0000,10.597791490192417,371900000,1507400000,7,,15.483509538037232,1.995292195509326,0.9649247903272691,1.9349022146192612,8.324,1.6303266277309107,237500000,324425,8.472544832988454,99.00819999999999,-15.083671254783255,30991.666666666664,,11.1401359286144,106.59458016286209,Buy,0.45919789823602003,161720000,381900000,12000,69341.66666666666,14.26518714336622,7.90269632252591,1475400000,237500000,1668400000,0.447096009482418,7,5.0666311475123,-8.136429311577812,2.0163879684570136,1.773104194207427,2.328658536585366,159.10490172238104,128.68838072839606,37.7359944517223,11.878050433839478,154.76,21.590194846008792,49.54101845588946,4.583521,1.355198,21.3740810948264,0.660365853658537,-60.208719851576994,195.909007,2141879.566666667,43.31106351589465
KARO,NASDAQ,Karooooo Ltd.,1783083431.9999998,Technology Services,24.276134342555856,21.57480289593051,67.9392458545254,33.6558109947572,14.766805481748454,25.433696403578782,31.39035397748899,24.518618301890868,5.675866745392049,5.66900148519743,25.4825152375477,8.649712849910326,30.0118234311867,13.709475159157424,46219.0000,34.520040913376114,46266190,-608701.115185298,4,,3.77978162884923,0,,4.7769190027603985,17.6172664608072,-0.0046742603627002695,72490906.2424712,54861.164615831905,9.623422010744036,31.458800000000004,12.696856425026045,8101.2414638417085,2.4718651203616666,18.0627942682666,10.530346544131726,StrongBuy,0.34862399577331404,30893300,,5711,23842.456662580982,17.68390109287847,26.9234425706463,-608701.115185298,72490906.2424712,35024846.8701328,0.34862399577331404,4,7.83920492078835,3.912514216639975,4.772061936953385,-0.004470343910229152,,49.44726677749457,48.19229333935653,67.9702214954226,35.26923634942363,57.73,13.5299901671583,27.270723104056433,2.3545372454999995,0.8897994,41.4010505836234,,-0.2503413746017273,60.844692689999995,101349.6,76.13824345807971
AAOI,NASDAQ,"Applied Optoelectronics, Inc.",9182982489.999998,Electronic Technology,44.397574479303984,122.33387622149836,29.543392504931,51.35741395367468,-84.40757929846505,82.75018547109659,,110.71917152183714,17.77914692307692,17.145703747534526,-11.569033530572,8.17164160453796,-6.12552253942677,,46233.0000,-8.477893460383214,-384658000,-168955000,4,,26.05048027338,-51.83932945964004,-9.035158249550362,18.412820512820513,-15.613954818415785,,216035000,97146.6638243445,,94.61639999999998,82.91938321432268,-81999.14730334684,,-8.54773175542406,321.35493372606777,Buy,0.33802413893650196,80242800,-448932000,4691,-5735.664037518653,14.199590875163759,-5.93555018503955,32046999.999999996,216035000,177222000,0.253557116402882,4,9.02538798901942,29.681373954466828,18.76326212654839,,-5.908554882863911,151.87360708332693,101.30930642610517,29.955783768364,-6.664916778023216,114.44,-13.776605763797322,250.5053598774885,1.033606,3.6859841,-5.40848126232742,3.16528033693077,-2.5641025641025696,172.75,13112493.933333334,36.37537394251359
