Symbol,Exchange,Description,Market capitalization,Price,Sector,"Gross profit growth %, Quarterly YoY","Revenue growth %, Quarterly YoY","Gross margin %, Trailing 12 months","Free cash flow margin %, Annual","Revenue growth %, Annual YoY",Price to earnings ratio,"Forward non-GAAP price to earnings, Annual","Net debt, Annual","Enterprise value to EBITDA ratio, Trailing 12 months","Enterprise value to revenue ratio, Trailing 12 months",Price to sales ratio,"Operating margin %, Trailing 12 months",Price to book ratio,"Return on equity %, Trailing 12 months",Upcoming earnings date,"Cash and equivalents, Annual","Long term debt, Annual","Earnings per share diluted growth %, TTM YoY","Return on invested capital %, Annual","Debt to equity ratio, Quarterly",Performance % 1 year,"Net margin %, Trailing 12 months","Revenue growth %, 5 year CAGR","Price to earning to growth, Trailing 12 months",Analyst Rating,"Piotroski F-score, Trailing 12 months","Altman Z-score, Trailing 12 months","Shares buyback ratio %, Annual","Interest coverage, Annual","Return on capital employed %, Annual","Sloan ratio %, Annual",Buyback yield %,"Research and development ratio, Annual","Net debt to EBITDA ratio, Annual","Revenue per employee, Annual","Sustainable growth rate, Annual",Free float %,"Free cash flow per share, Trailing 12 months","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Cash and short-term investments, Annual","Performance %, 3 months","Performance %, 6 months","Earnings per share estimate, Annual","Beta, 5 years","EBITDA margin %, Trailing 12 months","Capital expenditures per share, Trailing 12 months","Earnings per share diluted growth %, Quarterly YoY","Target price, 1 year","Average volume, 30 days","Relative strength index, 14, 1 day",Total common shares outstanding,"Number of employees, Annual","Free cash flow, Annual","Free cash flow, Trailing 12 months","High, 52 weeks","Performance %, 1 week","Performance %, 1 month","Average true range, 14, 1 day","Simple moving average, 50, 1 day","Simple moving average, 150, 1 day","Simple moving average, 200, 1 day","Volatility, 1 month","Volatility, 1 week","Low, 52 weeks","Relative volume, 1 week",Volume,"Exponential moving average, 21, 1 day",Industry,Gap
AXON,NASDAQ,"Axon Enterprise, Inc.",51692178792.84,636.31,Electronic Technology,35.34525675986952,35.27862290550425,59.4071819474952,2.701206244495484,33.46945008129552,263.52604986333137,82.49299961379414,163687000,361.1065437449752,16.408697213984407,15.290512820512822,1.14631454329301,14.067412421619569,6.22131917326485,46336.0000,1213347000,1829112000,-40.31097817219983,3.0699263043819,0.498967625036841,-24.50853610791444,6.19111123951143,32.48437327961291,,StrongBuy,4,8.09458505410432,-4.688380795180794,-0.6364311636494833,-1.3317393435983431,9.117406607390269,-0.7855559767123722,24.6195048382176,7.060038818201424,441196.19047619,4.47571891252985,94.09299999999999,1.6136465514108143,522.3987517781894,521.2216174213664,1745977000,63.47917683631783,45.20663608772049,7.713503,1.3842429,4.54400439377602,1.6066803164488,-18.995682799363784,725,1017657.7,63.45213446754949,81237400,6300,75081000,133192000,794.29,9.030002912904152,9.331615120274904,38.87139285140604,518.0354000000003,484.51553333333345,511.6171499999998,6.537623511681003,10.46122085583033,339.01,0.5346121726290521,1492994,556.315419941536,Aerospace & Defense,-0.2230308721681017
P,NYSE,"Everpure, Inc.",36358453336.11023,109.38,Electronic Technology,34.911489817272304,35.249362543915424,70.2299623036766,16.75368013316432,15.614059120676835,166.28154454241408,44.78796351119944,-1330683000,108.97623456502227,8.910287559834908,8.54794842801611,4.21425694151305,25.18489182791936,16.8456994713336,46260.0000,857273000,174384000,77.01829924650163,12.2841408915192,0.160151802393391,87.8413189077795,5.7464923522841,16.811610382486464,1.9339695943469524,Buy,7,5.1738633885496,-1.3035798615157324,34.019555555555556,4.4748006009739525,-12.445929932423514,0.6280465175156693,26.298997800342523,-5.023037491129264,572319.21875,13.6752341720616,94.6578,1.4958703670817164,78.31872456437084,73.18587923939629,1549719000,28.682352941176465,43.20502749410841,2.442174,1.4550865,8.17635844677534,0.758128986616903,,99.894737,2617516.566666667,80.85554876458022,332405000,6400,613661000,513821000,109.59,33.39024390243902,35.74087862993298,5.594841530557028,76.6954,72.07320000000001,74.24354999999997,6.38727589607274,7.101618579733201,54.37,0.775181968769652,5497623,82.85061643902506,Computer Peripherals,7.848540518473156
MDB,NASDAQ,"MongoDB, Inc.",35322487755.1867,439.16,Technology Services,27.922026023982077,25.245622151711977,71.6712156744604,20.301510229941833,22.794268264784996,,71.80472567834832,-2324410000,,12.662919773327111,13.061992615771045,-4.18179533576519,12.045803457230075,-0.974914165930787,46266.0000,1083540000,47090000,67.75595341560926,-2.43678531743606,0.0199781257666203,112.15458937198069,-1.11785318085351,33.0744430069291,,Buy,6,16.6241545510218,-0.031022342586154886,-41.8695652173913,-4.396626996715824,-29.66637650684465,1.2929412083466263,29.07313386614238,,437153.477643719,,96.0544,7.246530388114142,341.04117275338757,319.62205914231544,2387241000,42.96038282496176,20.48285322359397,6.116032,1.5525414,-2.74162417062103,0.0694766319675345,,408.151515,1425663.8,76.56027747082096,80431900,5636,500188000,591182000,444.72,23.05364473149615,18.19674337235904,20.876944062123744,345.33359999999993,321.39679999999976,335.8557499999999,6.107314315185409,5.541093623076779,202.05,0.43405636854216567,1767025,359.22221873312895,Packaged Software,2.215182278541762
CHYM,NASDAQ,"Chime Financial, Inc.",12012505226.085575,31.73,Technology Services,10.462837830340877,10.605790483639382,86.8119292784951,1.1683234817935493,22.86876772387417,,77.60507747055874,-933923000,908.5241855893744,4.937339295261734,5.440291495767719,-0.826061387356406,8.552860342815247,-1.28439913587394,46337.0000,480760000,123284000,97.70790140520617,-78.7443457392126,0.0931655398335163,9.413793103448278,-0.815482924747685,,,StrongBuy,,7.48202955026522,-4.668874627753575,,,-39.290035401518374,2.177639010986238,,,1291836.07636603,,47.684200000000004,0.7828681537284475,22.48289784981885,22.447596753904588,1068588000,78.05836139169472,52.40153698366955,0.408865,0.31507704,0.543446104525968,0.0917391050674916,,33.954545,7277571.033333333,77.74707901458365,347019870,1519,22926000,307996000,33.41,30.737536052740012,45.28388278388278,1.6804553447354134,21.006399999999985,21.375633333333337,21.530050000000003,6.267954674074984,9.138287962029882,15.88,0.687868942307102,12979741,25.03547664761052,Packaged Software,-0.48622366288493396
ZETA,NYSE,Zeta Global Holdings Corp.,7317046503.507625,29.15,Technology Services,37.37984843522876,43.5491923927351,54.1854645526034,14.18652101530811,29.72038888237084,,30.075389664589764,-102022000,52.9436854699848,4.600832849107616,4.498286787304164,3.39771987240249,7.876760449205028,-0.271166861384226,46336.0000,319764000,208798000,92.81997918834547,-3.34051427105354,0.23772122305846602,57.14285714285713,-0.138075737311069,28.795924082319036,,StrongBuy,4,5.9556276417856,-3.7561253789307227,77.64150943396227,2.830286472547302,-6.926825386575663,1.5570900081799826,8.981058782770788,-1.0116814089088098,395353.939393939,,98.1723,0.8745953094277127,21.845161976776424,19.478859798740004,319764000,80.94351334574799,80.94351334574799,0.969231,1.395684,8.69005020762287,0.151901036897329,,30.692308,9420016.633333333,74.04361811368302,227375000,3300,185087000,224405000,29.18,25.619478560655033,29.55555555555555,1.6334564749149354,21.67619999999999,19.264733333333336,19.103049999999985,7.077288187935818,8.76381321791512,14.365,0.4845294549946619,15169720,23.67418630840958,Packaged Software,-0.21786492374727207
NE,NYSE,Noble Corporation plc A,7100885461.477842,44.48,Industrial Services,-41.62723972362103,-15.19633489345456,16.5497373205029,13.153129078442449,7.44812150363429,48.08648648648648,61.32330395844133,1561651000,8.889111955769435,2.78143555363093,2.2652677140380675,12.6396152039551,1.5836158421397042,3.28311203279886,46329.0000,479999000,2027745000,-52.02530989056584,3.26524911429344,0.421153975675867,63.52941176470588,4.87589343136645,27.785677767398486,,Neutral,4,2.03013131659356,0.05845481131093309,3.1711975763994507,7.466948287295957,-5.111618991663355,-0.04307913451913866,,1.4190622100699604,730126.222222222,-2.2538703066395813,79.8998,1.3874214309438313,42.55084049199099,40.779513967771216,479999000,-13.698098564221969,2.299908003679853,0.725336,0.9330436,31.2903647458918,3.74617886484556,-186.62396382818386,46.3,1605897.7666666666,59.92867025269696,159642000,4500,432155000,221395000,54.98,11.562578379734136,13.353720693170223,1.6370320049713274,42.00480000000002,43.89233333333332,40.38119999999998,3.78584009197434,3.6040043379999593,26.2,0.4131006956893386,1376876,41.66257934106187,Contract Drilling,0.6659012629162027
RIG,NYSE,Transocean Ltd (Switzerland),6489073299.741259,5.81,Industrial Services,-1.8691588785046727,-2.2267206477732793,27.1005342399223,15.788146279949558,12.514188422247447,,31.452839687961845,4974000000,7.062751991992984,2.6258070179070563,1.6696066051481293,22.6323457989315,0.7753603557315945,-18.6988658804943,46330.0000,997000000,5467000000,3.916576381365115,-19.1991042613449,0.611589008363202,87.41935483870965,-40.2379796017484,4.696315120059369,,Neutral,6,0.345927614057292,-25.76955688421507,1.236842105263158,4.404323108639971,-23.21314409922005,-6.487829317890224,,3.6466275659824046,708035.714285714,,90.6328,0.7520798668885191,5.464057939106416,5.295698768107255,997000000,-11.96969696969697,-1.9409282700421977,0.184721,1.3233894,37.178241864983,0.0757071547420965,,6.333333,42740564,64.1234230581594,1116880000,5600,626000000,904000000,7.66,15.049504950495045,12.16216216216216,0.24961111252533189,5.403999999999997,5.822566666666668,5.38855,4.5828484403501495,5.545474542249298,2.7601,0.6448226210107095,56583943,5.307580299988794,Contract Drilling,-0.6993006993007
VAL,NYSE,Valaris Limited,6027028199.9438925,86.8,Industrial Services,-57.01086956509338,-12.353706111580449,17.0650699349878,8.556352891505476,0.2708880045577239,6.481045927319699,28.7685089560213,552500000.001009,15.68806849302262,3.107231229776548,2.817383168804061,12.0877578706201,1.8676808374439884,33.8570193139768,46329.0000,606400000.0011029,1123300000.00205,248.70079150177045,25.6237778645681,0.361877852640729,81.8181818181818,43.9537821021811,10.666466825557052,0.025684328763411295,Neutral,5,2.60387498614768,2.5352112676056295,4.924528301881071,11.872867660207149,12.10601719196908,1.6743016310073415,,0.8603238866412471,467258.38264354004,36.3454817771766,69.6982,-0.3580056818181818,81.32606119895252,77.2268330768328,606400000.0011029,-11.860276198212842,-0.5841255297216872,3.017188,0.9399478,19.806333910121,5.40106343646102,-55.65260484420492,90.27,977067.7333333333,65.10885324660865,69435800,5070,202700000,-25203600,114.12,15.24163568773235,14.21052631578947,3.609492701552141,80.42059999999988,84.44339999999997,77.04109999999996,4.323915474202541,5.518192464472993,43.53,0.7147892832963771,1365838,79.18648482565075,Contract Drilling,0
ACHR,NYSE,Archer Aviation Inc.,5228461817.848243,6.79,Electronic Technology,-87.5,,-392.753623188406,-170566.6666666667,,,,-1850100000,,552.0959156301801,709.1944927536233,-13569.5652173913,2.76295925550659,-44.7609985447218,46331.0000,1028800000,115800000,15.368964707723617,-39.2944541554108,0.0663742535538763,-31.379484588175842,-11589.8550724638,,,Buy,3,4.96836282244244,-47.693425603492265,,-44.27026370154333,40.17600064885031,-13.204648404301286,159133.3333333333,,180.72289156626502,,83.7113,-0.8443136753230139,5.32340116817163,6.518665741930694,1972000000,7.94912559618442,-2.582496413199422,-1.286752,3.1992283,,0.179864398106691,5.341579983131857,10.611111,37239745.96666667,72.05727414309739,759598000,1660,-511700000,-660000000,14.62,37.4493927125506,38.85480572597138,0.45260628304956796,5.229200000000003,6.167933333333324,6.766050000000006,8.264594144955355,9.343107348018274,4.3,1.1968879170904796,90131243,5.2947315822845775,Aerospace & Defense,-0.47923322683705055
KVYO,NYSE,"Klaviyo, Inc. Series A",5227903872.62451,18.36,Technology Services,21.282128708632104,26.42596642296421,73.7940180879297,15.359731090039944,31.633748069259195,866.0377358490566,22.26725803458702,-944865000,,3.2442934601257503,3.8173057024328316,-1.86377060222098,5.48716523360799,0.658114058890112,46337.0000,1065613000,95991000,,-2.69335948014974,0.11780989923724701,-43.31583822167335,0.488682091107439,,,StrongBuy,5,6.89367550421795,-62.17225916351895,,-5.357481661498972,-13.873114328446592,6.175878666986917,23.25612490569432,,521122.88851351396,,78.0254,0.796471489211691,17.088927567625767,20.666657167557382,1065613000,28.661527680448494,-11.261478975350418,0.824529,0.5367663,-0.171553247710225,0.135245934801556,65.02347417840375,26.809524,5574855.266666667,55.144043006432966,126937935,2368,189542000,236434000,36.225,2.9725182277061197,4.436860068259392,1.3642261724311808,16.354199999999988,18.573400000000003,21.171650000000003,7.374481101326635,8.61082034412128,12.53,0.5815756834234612,8268715,17.597249547410758,Packaged Software,-1.6228315612758966
